case_id,candidate_group,human_judgment,configuration_group,evidence_difference,counterexample_status,family_membership,semantic_label_dependency,patch_risk,notes
arxiv_2402.18619_p19_339_297,counterexample_NO,NO,FIG=YES|EXTENT|VR=below|XO=YES|dist40+,"STRUCTURAL_MATCH (same config as nearby YES, different case_type=ambiguous_fragment)","TRUE_COUNTEREXAMPLE (same structural config, judgment=NO)",EXCLUDED (judgment=NO despite same structural config),TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=arxiv_2402.18619; case_type=ambiguous_fragment; XO=YES; dist=56.8; ctx=5; burden=0
is11_efficientnet_p8_467_415,counterexample_NO,NO,FIG=YES|EXTENT|VR=below|XO=YES|dist20-40,"STRUCTURAL_MATCH (same config as nearby YES, different case_type=ambiguous_fragment)","TRUE_COUNTEREXAMPLE (same structural config, judgment=NO)",EXCLUDED (judgment=NO despite same structural config),TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=is11_efficientnet; case_type=ambiguous_fragment; XO=YES; dist=25.5; ctx=5; burden=0
is11_efficientnet_p4_307_448,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist≤20,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),LOW (fits core 100% subgroup: XO=YES+dist≤20),doc=is11_efficientnet; case_type=caption_like; XO=YES; dist=6.9; ctx=5; burden=0
is11_cs_001_p4_108_225,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist≤20,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),LOW (fits core 100% subgroup: XO=YES+dist≤20),doc=is11_cs_001; case_type=caption_like; XO=YES; dist=7.0; ctx=5; burden=0
is11_resnet_p6_309_157,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist≤20,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),LOW (fits core 100% subgroup: XO=YES+dist≤20),doc=is11_resnet; case_type=caption_like; XO=YES; dist=14.1; ctx=5; burden=0
is11_resnet_p5_50_392,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist≤20,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),LOW (fits core 100% subgroup: XO=YES+dist≤20),doc=is11_resnet; case_type=caption_like; XO=YES; dist=2.7; ctx=5; burden=0
arxiv_2402.18619_p10_72_581,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist≤20,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),LOW (fits core 100% subgroup: XO=YES+dist≤20),doc=arxiv_2402.18619; case_type=caption_like; XO=YES; dist=8.3; ctx=5; burden=0
is11_cs_001_p5_108_225,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist≤20,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),LOW (fits core 100% subgroup: XO=YES+dist≤20),doc=is11_cs_001; case_type=caption_like; XO=YES; dist=7.1; ctx=5; burden=0
is11_resnet_p4_464_620,counterexample_UNC,UNCERTAIN,FIG=YES|EXTENT|VR=below|XO=NO|dist20-40,"STRUCTURAL_MATCH (same config as YES, case_type=ambiguous_fragment, semantic ambiguity)","BOUNDARY (same structural config, judgment=UNCERTAIN)",BOUNDARY (judgment=UNCERTAIN despite same structural config),TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=is11_resnet; case_type=ambiguous_fragment; XO=NO; dist=38.4; ctx=5; burden=0
is11_med_001_p9_85_321,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist40+,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=is11_med_001; case_type=caption_like; XO=YES; dist=40.4; ctx=5; burden=0
is11_med_001_p19_85_454,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist20-40,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=is11_med_001; case_type=caption_like; XO=YES; dist=40.0; ctx=5; burden=0
is11_med_001_p20_85_340,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist20-40,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=is11_med_001; case_type=caption_like; XO=YES; dist=34.6; ctx=5; burden=0
is11_med_001_p11_85_291,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist≤20,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),LOW (fits core 100% subgroup: XO=YES+dist≤20),doc=is11_med_001; case_type=caption_like; XO=YES; dist=15.3; ctx=5; burden=0
is11_efficientnet_p6_307_629,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist≤20,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),LOW (fits core 100% subgroup: XO=YES+dist≤20),doc=is11_efficientnet; case_type=caption_like; XO=YES; dist=3.3; ctx=5; burden=0
arxiv_2402.18619_p18_134_293,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist40+,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=arxiv_2402.18619; case_type=caption_like; XO=YES; dist=49.4; ctx=5; burden=0
arxiv_2402.18619_p28_107_234,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist40+,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=arxiv_2402.18619; case_type=caption_like; XO=YES; dist=55.2; ctx=5; burden=0
is11_efficientnet_p1_307_364,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist≤20,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),LOW (fits core 100% subgroup: XO=YES+dist≤20),doc=is11_efficientnet; case_type=caption_like; XO=YES; dist=3.3; ctx=5; burden=0
is11_med_001_p15_85_574,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist40+,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=is11_med_001; case_type=caption_like; XO=YES; dist=46.0; ctx=5; burden=0
arxiv_2402.18619_p19_72_733,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist20-40,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=arxiv_2402.18619; case_type=caption_like; XO=YES; dist=33.1; ctx=5; burden=0
is11_efficientnet_p4_188_461,counterexample_NO,NO,FIG=YES|EXTENT|VR=below|XO=NO|dist20-40,"STRUCTURAL_MATCH (same config as nearby YES, different case_type=ambiguous_fragment)","TRUE_COUNTEREXAMPLE (same structural config, judgment=NO)",EXCLUDED (judgment=NO despite same structural config),TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=is11_efficientnet; case_type=ambiguous_fragment; XO=NO; dist=20.1; ctx=5; burden=0
is11_med_001_p8_85_211,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist20-40,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),LOW (fits XO=YES+dist≤25 subgroup),doc=is11_med_001; case_type=caption_like; XO=YES; dist=22.9; ctx=5; burden=0
is11_med_001_p23_85_395,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist≤20,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),LOW (fits core 100% subgroup: XO=YES+dist≤20),doc=is11_med_001; case_type=caption_like; XO=YES; dist=15.3; ctx=5; burden=0
is11_resnet_p4_50_633,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist40+,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=is11_resnet; case_type=caption_like; XO=YES; dist=51.6; ctx=5; burden=0
arxiv_2402.18619_p17_72_184,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist≤20,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),LOW (fits core 100% subgroup: XO=YES+dist≤20),doc=arxiv_2402.18619; case_type=caption_like; XO=YES; dist=8.5; ctx=5; burden=0
arxiv_2402.18619_p16_172_568,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist20-40,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=arxiv_2402.18619; case_type=caption_like; XO=YES; dist=30.2; ctx=5; burden=0
arxiv_2402.18619_p15_74_275,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist40+,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=arxiv_2402.18619; case_type=caption_like; XO=YES; dist=44.4; ctx=5; burden=0
arxiv_2402.18619_p19_72_248,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist≤20,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),LOW (fits core 100% subgroup: XO=YES+dist≤20),doc=arxiv_2402.18619; case_type=caption_like; XO=YES; dist=8.5; ctx=5; burden=0
is11_med_001_p14_85_386,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=NO|dist≤20,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=is11_med_001; case_type=caption_like; XO=NO; dist=15.3; ctx=5; burden=0
is11_resnet_p1_412_338,borderline,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist20-40,"STRUCTURAL_MATCH (same config as YES, different case_type)","BORDERLINE (same structural config, judgment=YES, different case_type)","YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=is11_resnet; case_type=ambiguous_fragment; XO=YES; dist=35.4; ctx=5; burden=0
arxiv_2402.18619_p19_83_745,borderline,YES,FIG=YES|EXTENT|VR=below|XO=NO|dist40+,"STRUCTURAL_MATCH (same config as YES, different case_type)","BORDERLINE (same structural config, judgment=YES, different case_type)","YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=arxiv_2402.18619; case_type=ambiguous_fragment; XO=NO; dist=45.1; ctx=3; burden=0
is11_med_001_p24_85_572,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=NO|dist40+,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=is11_med_001; case_type=caption_like; XO=NO; dist=54.8; ctx=5; burden=0
is11_efficientnet_p8_328_261,B_candidate,YES,FIG=NO|EXTENT|VR=below|XO=YES|dist≤20,FIG=NO (different from Group A),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),LOW (fits core 100% subgroup: XO=YES+dist≤20),doc=is11_efficientnet; case_type=Type_B_negative; XO=YES; dist=0; ctx=3; burden=0
arxiv_2402.18619_p17_184_561,B_candidate,YES,FIG=NO|EXTENT|VR=below|XO=YES|dist≤20,FIG=NO (different from Group A),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),LOW (fits core 100% subgroup: XO=YES+dist≤20),doc=arxiv_2402.18619; case_type=Type_B_negative; XO=YES; dist=5.1; ctx=5; burden=0
is11_cs_001_p5_292_225,B_candidate,YES,FIG=NO|EXTENT|VR=below|XO=YES|dist≤20,FIG=NO (different from Group A),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),LOW (fits core 100% subgroup: XO=YES+dist≤20),doc=is11_cs_001; case_type=Type_B_negative; XO=YES; dist=7.1; ctx=5; burden=0
is11_resnet_p1_435_316,B_candidate,YES,FIG=NO|EXTENT|VR=below|XO=YES|dist≤20,FIG=NO (different from Group A),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),LOW (fits core 100% subgroup: XO=YES+dist≤20),doc=is11_resnet; case_type=Type_B_negative; XO=YES; dist=13.5; ctx=5; burden=0
