case_id,document_id,case_type,e0_judgment,e0_pack_completeness,stratum,selected_for_pilot,arm,presentation_order,e0_burden_diagnostic,e1_burden_diagnostic,e1_evidence_state,e0_extent,e1_extent,e0_ctx_count,e1_ctx_count
is11_med_001_p14_85_386,is11_med_001,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_med_001_p15_244_342,is11_med_001,type_b,uncertain,PARTIAL_EXTENT_ONLY,S5_TYPE_B_NEGATIVE,NO,,,1,0,EXTENT_EXISTS,set,set,0,5
is11_med_001_p15_261_316,is11_med_001,ambiguous_fragment,yes,COMPLETE,S1_COMPLETE_YES,YES,A_E0,12,0,0,EXTENT_EXISTS,set,set,5,5
is11_med_001_p15_498_107,is11_med_001,type_a,uncertain,INCOMPLETE,S4_TYPE_A_NEGATIVE,YES,A_E0,14,3,0,EXTENT_EXISTS,None,set,0,5
is11_med_001_p15_85_574,is11_med_001,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_med_001_p16_85_484,is11_med_001,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_med_001_p18_325_655,is11_med_001,type_a,uncertain,INCOMPLETE,S4_TYPE_A_NEGATIVE,YES,A_E0,2,3,2,NO_VISUAL_EVIDENCE,None,None,0,5
is11_med_001_p19_85_454,is11_med_001,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_med_001_p20_85_340,is11_med_001,caption_like,yes,COMPLETE,S1_COMPLETE_YES,YES,A_E0,6,0,0,EXTENT_EXISTS,set,set,5,5
is11_med_001_p23_85_395,is11_med_001,caption_like,yes,COMPLETE,S1_COMPLETE_YES,YES,B_E1,1,0,0,EXTENT_EXISTS,set,set,5,5
is11_med_001_p24_85_572,is11_med_001,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_med_001_p8_85_211,is11_med_001,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_med_001_p9_85_321,is11_med_001,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_resnet_p1_309_305,is11_resnet,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_resnet_p1_412_338,is11_resnet,ambiguous_fragment,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_resnet_p1_435_316,is11_resnet,type_b,yes,PARTIAL_EXTENT_ONLY,S5_TYPE_B_NEGATIVE,YES,A_E0,21,1,0,EXTENT_EXISTS,set,set,0,5
is11_resnet_p2_87_158,is11_resnet,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_resnet_p4_309_134,is11_resnet,reference_like,yes,COMPLETE,S1_COMPLETE_YES,YES,A_E0,7,0,0,EXTENT_EXISTS,set,set,5,5
is11_resnet_p4_320_146,is11_resnet,ambiguous_fragment,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_resnet_p4_464_620,is11_resnet,ambiguous_fragment,uncertain,COMPLETE,S3_COMPLETE_UNCERTAIN,YES,B_E1,4,0,0,EXTENT_EXISTS,set,set,5,5
is11_resnet_p4_50_633,is11_resnet,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_resnet_p5_359_225,is11_resnet,ambiguous_fragment,no,COMPLETE,S6_NO_JUDGMENT,YES,A_E0,19,0,0,EXTENT_EXISTS,set,set,5,5
is11_resnet_p5_50_392,is11_resnet,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_resnet_p6_309_157,is11_resnet,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_resnet_p6_478_168,is11_resnet,ambiguous_fragment,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_resnet_p7_321_545,is11_resnet,type_a,uncertain,INCOMPLETE,S4_TYPE_A_NEGATIVE,YES,B_E1,13,3,2,PRIMITIVES_NO_EXTENT,None,None,0,5
is11_resnet_p8_50_328,is11_resnet,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,1,1,EXTENT_EXISTS,set,set,5,5
