case_id,document_id,document_type,document_domain,page,problem_type,failure_source,human_judgment_available,existing_evidence_available
DG2-FIN-011,FIN_REPORT,corporate_industry_report,finance_accounting,all,running_header_content_mixing,Running header '2024 影响中国会计行业的 十大信息技术评选报告' and page numbers appear as content blocks mixed with actual content on every page,FALSE,YES (but header/content separation lost)
DG2-FIN-012,FIN_REPORT,corporate_industry_report,finance_accounting,53-54,bar_chart_raster_axis_labels,Multiple bar charts (图5-8) showing learning channel preferences are raster images; axis labels and category names extracted but chart data (bar heights/percentages) not observable,FALSE,PARTIAL (axis labels and category names only; chart data not observable)
DG2-FIN-013,FIN_REPORT,corporate_industry_report,finance_accounting,40-41,unit_type_table_5column_spanning,5-column unit type voting table (企业|行政事业单位|会计所|其他|总计|变异系数|差异排名) spans 2 pages; 35 rows with 7-way correspondence lost,FALSE,"YES (all values as text, but 7-way correspondence lost)"
DG2-FIN-014,FIN_REPORT,corporate_industry_report,finance_accounting,44-48,ownership_type_table_4column_spanning,4-column ownership table (国企|民企|外企|总计|变异系数|差异排名) spans 4 pages; 35 rows with 6-way correspondence lost,FALSE,"YES (all values as text, but 6-way correspondence lost)"
DG2-FIN-015,FIN_REPORT,corporate_industry_report,finance_accounting,48,cross_category_comparison_table_10column,10-column cross-category comparison table (综合排名|候选技术|职位层次变异系数|职位层次排名|岗位变异系数|岗位排名|单位性质变异系数|单位性质排名|所有制变异系数|所有制排名|企业规模变异系数|企业规模排名); 12-way correspondence lost,FALSE,"YES (all values as text, but 12-way correspondence lost)"
DG2-FIN-016,FIN_REPORT,corporate_industry_report,finance_accounting,56-57,comparison_bar_chart_raster_2023_2024,Bar chart comparing 2023 vs 2024 learning methods is raster; category labels extracted but bar data not observable,FALSE,PARTIAL (category labels only; chart data not observable)
DG2-FIN-017,FIN_REPORT,corporate_industry_report,finance_accounting,19-20,ranking_change_arrows_fragmented,"Ranking change indicators (↑1, ↓1, →) separated from technology names and ranking numbers in extraction",FALSE,"YES (all arrows and values as text, but correspondence lost)"
DG2-FIN-018,FIN_REPORT,corporate_industry_report,finance_accounting,21-22,technology_name_vertical_split,"Long technology names (e.g., '会计大数据分析与处理') split vertically character-by-character in table cells due to narrow column width; '会\n计\n大\n数\n据\n分\n析\n与\n处\n理' instead of horizontal text",FALSE,"YES (all characters as text, but word reconstruction needed)"
DG2-MIS-001,MIS_TEXTBOOK,educational_presentation,management_education,4,contents_section_flat_list,Contents section titles extracted as flat numbered list; section hierarchy lost,FALSE,YES (section titles as text)
DG2-MIS-002,MIS_TEXTBOOK,educational_presentation,management_education,8,figure_raster_caption_only,Figure 3.2 'The Behavioral View of Organizations' is raster image; caption extracted but figure content not observable,FALSE,PARTIAL (caption only; figure not observable)
DG2-MIS-003,MIS_TEXTBOOK,educational_presentation,management_education,10,figure_raster_caption_only,Figure 3.3 'Two-Way Relationship Between Organizations and IT' is raster; caption extracted but figure not observable,FALSE,PARTIAL (caption only; figure not observable)
DG2-MIS-004,MIS_TEXTBOOK,educational_presentation,management_education,18,figure_raster_caption_only,"Figure 3.4 'Routines, Business Processes, and Firms' is raster; caption extracted but figure not observable",FALSE,PARTIAL (caption only; figure not observable)
DG2-MIS-005,MIS_TEXTBOOK,educational_presentation,management_education,23,figure_raster_caption_only,Figure 3.5 'Environments and Organizations Reciprocal Relationship' is raster; caption extracted but figure not observable,FALSE,PARTIAL (caption only; figure not observable)
DG2-MIS-006,MIS_TEXTBOOK,educational_presentation,management_education,all,slide_page_number_as_content,"Slide page numbers (8, 10, 16, 18, 23, etc.) extracted as standalone content blocks; page-number/content boundary lost",FALSE,YES (but page numbers mixed with content)
DG2-MIS-007,MIS_TEXTBOOK,educational_presentation,management_education,16,bullet_hierarchy_lost,"Bullet points with sub-bullets (▪ main, ▪ sub) extracted as flat list; hierarchy (main vs sub-bullet) lost",FALSE,"YES (all bullet text, but hierarchy lost)"
DG2-AUD-001,AUDIT_TEXTBOOK,educational_textbook,audit_education,2,contents_section_separate_blocks,CONTENTS with Section 1/2/3 titles extracted as separate blocks; section-title association lost,FALSE,YES (section titles as text)
DG2-AUD-002,AUDIT_TEXTBOOK,educational_textbook,audit_education,4,case_study_context_lost,"Case study narrative about 'auditor Xiao Zhang' extracted but case context (which document section, what learning objective) lost",FALSE,"YES (case text, but structural context lost)"
DG2-AUD-003,AUDIT_TEXTBOOK,educational_textbook,audit_education,5,bullet_hierarchy_lost,Questions and sub-points (• 1. What are... • 2. Are...) extracted as flat list; question/sub-question hierarchy lost,FALSE,"YES (all text, but hierarchy lost)"
DG2-AUD-004,AUDIT_TEXTBOOK,educational_textbook,audit_education,all,slide_page_number_as_content,Slide page numbers appear as standalone content blocks mixed with actual content,FALSE,YES (but page numbers mixed with content)
DG2-AUD-005,AUDIT_TEXTBOOK,educational_textbook,audit_education,various,definition_term_value_separation,Key terms and their definitions extracted as separate blocks; term-definition pairs lost,FALSE,"YES (all terms and definitions as text, but pairs lost)"
DG2-CH3-001,AUDIT_CH3,educational_textbook,audit_education,1,toc_section_number_separation,"TOC with section numbers (01, 02, 03, 04) and titles extracted as separate blocks; number-title pairs lost",FALSE,YES (numbers and titles as text)
DG2-CH3-002,AUDIT_CH3,educational_textbook,audit_education,4,slide_footer_marker_mixing,"Slide footer 'ANNUAL WORK SUMMARY' and section markers (一, Ø) mixed with content; footer/content boundary lost",FALSE,YES (but footer mixed with content)
DG2-CH3-003,AUDIT_CH3,educational_textbook,audit_education,5,bullet_marker_hierarchy_lost,"Bullet points with different markers (Ø main, • sub) extracted as flat list; marker-based hierarchy lost",FALSE,"YES (all text, but hierarchy lost)"
DG2-CH3-004,AUDIT_CH3,educational_textbook,audit_education,all,slide_page_number_as_content,Slide page numbers appear as standalone content blocks,FALSE,YES (but page numbers mixed with content)
DG2-CH3-005,AUDIT_CH3,educational_textbook,audit_education,various,supplementary_content_boundary_lost,'补充内容' (supplementary content) markers not clearly separated from main content; supplementary/main boundary lost,FALSE,"YES (all text, but supplementary boundary lost)"
