case_id,source,document_id,document_type,problem_type,human_task,original_judgment,G1_G5,G1_G5_SECONDARY,available_evidence,organized_evidence,presented_evidence,consumer_received_evidence,human_sufficiency_status,supported_claim,unsupported_claim,boundary_status
IS11-AMB-418,G1G5_VALIDATION,is11_med_001,academic_paper_chemistry,prose_sentence_boundary,T2_BOUNDARY_DECISION,ABSTAIN,G5,G3,PARTIAL (P1 text; period+cap),YES (evidence organized),YES (presented),YES (consumed but semantic interpretation needed),BOUNDARY,Text pair has period+capital boundary signal,Text pair is definitively sentence boundary vs reference continuation,CONDITIONAL_EVIDENCE_BOUNDARY
IS11-AMB-422,G1G5_VALIDATION,is11_med_001,academic_paper_chemistry,figure_caption_association,T1_STRUCTURAL_ASSOCIATION,MERGE,G2,G4,PARTIAL (P1 text: FIG prefix; P2 geometry: h_gap=10.47; NTB=0 vector),NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
IS11-AMB-457,G1G5_VALIDATION,is11_cs_001,academic_paper_nlp,table_header_boundary,T2_BOUNDARY_DECISION,ABSTAIN,G2,G4,PARTIAL (P1 text; TLD detected table but candidates outside bbox),NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
IS11-AMB-462,G1G5_VALIDATION,is11_cs_001,academic_paper_nlp,table_header_boundary,T2_BOUNDARY_DECISION,ABSTAIN,G2,G4,PARTIAL (P1 text; TLD detected wrong table),NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
IS11-AMB-467,G1G5_VALIDATION,is11_cs_001,academic_paper_nlp,table_column_boundary,T2_BOUNDARY_DECISION,ABSTAIN,G2,G4,PARTIAL (P1 text; TLD detected table but candidates outside bbox),NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
IS11-AMB-483,G1G5_VALIDATION,is11_cs_001,academic_paper_nlp,table_column_boundary,T2_BOUNDARY_DECISION,ABSTAIN,G2,G4,PARTIAL (P1 text; TLD detected table but candidates outside bbox),NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
IS11-AMB-505,G1G5_VALIDATION,is11_cs_001,academic_paper_nlp,table_column_boundary,T2_BOUNDARY_DECISION,ABSTAIN,G2,G4,PARTIAL (P1 text; TLD detected table but candidates outside bbox),NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
IS11-AMB-514,G1G5_VALIDATION,is11_cs_001,academic_paper_nlp,table_column_boundary,T2_BOUNDARY_DECISION,ABSTAIN,G2,G4,PARTIAL (P1 text; TLD detected table but candidates outside bbox),NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
IS11-AMB-519,G1G5_VALIDATION,is11_cs_001,academic_paper_nlp,prose_sentence_boundary,T2_BOUNDARY_DECISION,ABSTAIN,G5,G3,PARTIAL (P1 text; period+cap),YES (evidence organized),YES (presented),YES (consumed but semantic interpretation needed),BOUNDARY,Text pair has period+capital boundary signal,Text pair is definitively sentence boundary vs reference continuation,CONDITIONAL_EVIDENCE_BOUNDARY
IS11-AMB-005,G1G5_VALIDATION,is11_resnet,academic_paper_cs,prose_sentence_boundary,T2_BOUNDARY_DECISION,human_disagreement (system resolved),G5,G3,YES (TLD correct: different_cell=True; period+cap),YES (evidence organized),YES (presented),YES (consumed but semantic interpretation needed),BOUNDARY,Text pair has period+capital boundary signal,Text pair is definitively sentence boundary vs reference continuation,CONDITIONAL_EVIDENCE_BOUNDARY
IS11-AMB-024,G1G5_VALIDATION,is11_resnet,academic_paper_cs,table_column_boundary,T2_BOUNDARY_DECISION,resolved (TLD correct),G3,G4,YES (TLD: different_cell=True),YES (evidence organized),NO (organized but not presented to Human/consumer),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not presented to consumer),Judgment requiring the un-presented evidence,NOT_BOUNDARY
IS11-AMB-034,G1G5_VALIDATION,is11_resnet,academic_paper_cs,table_column_boundary,T2_BOUNDARY_DECISION,resolved (TLD correct),G3,G4,YES (TLD: different_cell=True),YES (evidence organized),NO (organized but not presented to Human/consumer),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not presented to consumer),Judgment requiring the un-presented evidence,NOT_BOUNDARY
IS11-AMB-074,G1G5_VALIDATION,is11_resnet,academic_paper_cs,table_column_boundary,T2_BOUNDARY_DECISION,resolved (TLD correct),G3,G4,YES (TLD: different_cell=True),YES (evidence organized),NO (organized but not presented to Human/consumer),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not presented to consumer),Judgment requiring the un-presented evidence,NOT_BOUNDARY
IS11-AMB-346,G1G5_VALIDATION,is11_efficientnet,academic_paper_cs,table_column_boundary,T2_BOUNDARY_DECISION,resolved (TLD correct),G3,G4,YES (TLD: different_cell=True),YES (evidence organized),NO (organized but not presented to Human/consumer),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not presented to consumer),Judgment requiring the un-presented evidence,NOT_BOUNDARY
IS11-AMB-350,G1G5_VALIDATION,is11_efficientnet,academic_paper_cs,table_column_boundary,T2_BOUNDARY_DECISION,resolved (TLD correct),G3,G4,YES (TLD: different_cell=True),YES (evidence organized),NO (organized but not presented to Human/consumer),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not presented to consumer),Judgment requiring the un-presented evidence,NOT_BOUNDARY
IS11-AMB-522,G1G5_VALIDATION,is11_cs_001,academic_paper_nlp,table_header_boundary,T2_BOUNDARY_DECISION,resolved (TLD correct),G3,G4,YES (TLD: different_cell=True),YES (evidence organized),NO (organized but not presented to Human/consumer),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not presented to consumer),Judgment requiring the un-presented evidence,NOT_BOUNDARY
IS11-AMB-530,G1G5_VALIDATION,is11_cs_001,academic_paper_nlp,table_column_boundary,T2_BOUNDARY_DECISION,resolved (TLD correct),G3,G4,YES (TLD: different_cell=True),YES (evidence organized),NO (organized but not presented to Human/consumer),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not presented to consumer),Judgment requiring the un-presented evidence,NOT_BOUNDARY
IS11-AMB-032,G1G5_VALIDATION,is11_resnet,academic_paper_cs,table_column_boundary,T2_BOUNDARY_DECISION,"resolved (TLD correct, P722 UNKNOWN)",G3,G4,YES (TLD: different_cell=True; but P722 participant couldn't verify from geometr,YES (evidence organized),NO (organized but not presented to Human/consumer),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not presented to consumer),Judgment requiring the un-presented evidence,NOT_BOUNDARY
IS11-AMB-052,G1G5_VALIDATION,is11_resnet,academic_paper_cs,table_column_boundary,T2_BOUNDARY_DECISION,resolved (baseline B),G2,G4,"PARTIAL (TLD=0 tables, but IS-01/IS-02 resolved)",NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
IS11-AMB-163,G1G5_VALIDATION,is11_efficientnet,academic_paper_cs,table_column_boundary,T2_BOUNDARY_DECISION,resolved (baseline B),G2,G4,PARTIAL (TLD=0 tables),NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
IS11-AMB-267,G1G5_VALIDATION,is11_efficientnet,academic_paper_cs,table_column_boundary,T2_BOUNDARY_DECISION,resolved (baseline B),G2,G4,PARTIAL (TLD=0 tables),NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
IS11-AMB-318,G1G5_VALIDATION,is11_efficientnet,academic_paper_cs,table_column_boundary,T2_BOUNDARY_DECISION,resolved (baseline B),G2,G4,PARTIAL (TLD=0 tables),NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
P3-INCIDENT-1,G1G5_VALIDATION,PH3-MED-001,academic_paper_medical_physics,figure_axis_tick_detection,T1_STRUCTURAL_ASSOCIATION,implementation_error (OBS-C bug),G2,,YES (ground-truth ticks 0.70/0.75/0.80/0.85/0.90),NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
P3-AMB-018,G1G5_VALIDATION,PH3-ASTRO-001,academic_paper_astrophysics,header_contamination_table_fp,T2_BOUNDARY_DECISION,IS-11 over-detection (header as table row),G2,,YES (P1 text: letter-spaced header; P2 geometry: page-top y),NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
P3-AMB-019,G1G5_VALIDATION,PH3-ASTRO-001,academic_paper_astrophysics,header_contamination_table_fp,T2_BOUNDARY_DECISION,IS-11 over-detection (header as table row),G2,,YES (P1 text: letter-spaced header; P2 geometry: page-top y),NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
P3-AMB-089,G1G5_VALIDATION,PH3-EARTH-001,academic_paper_astrophysics,author_affiliation_table_fp,T2_BOUNDARY_DECISION,IS-11 over-detection (affiliation as table),G2,,YES (P1 text: author affiliation),NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
P3-CV-FAIL,G1G5_VALIDATION,PH3-EARTH-002,academic_paper_earth_science,tick_run_definition_boundary,T3_GRAPHIC_CONTEXT,coverage limitation (variable-width CV>0.15),G1,,YES (center-CV measurement on axis labels),NO (nothing to organize),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (observation missing),Any judgment requiring the missing observation,NOT_BOUNDARY
P3-RASTER-1,G1G5_VALIDATION,PH3-ASTRO-001,academic_paper_astrophysics,raster_figure_text_invisible,T3_GRAPHIC_CONTEXT,coverage limitation (raster figures),G1,,PARTIAL (image blocks detected but text embedded in raster),NO (nothing to organize),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (observation missing),Any judgment requiring the missing observation,NOT_BOUNDARY
P3-RASTER-2,G1G5_VALIDATION,PH3-EARTH-001,academic_paper_astrophysics,raster_figure_text_invisible,T3_GRAPHIC_CONTEXT,coverage limitation (raster figures),G1,,PARTIAL (image blocks detected but text embedded in raster),NO (nothing to organize),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (observation missing),Any judgment requiring the missing observation,NOT_BOUNDARY
P3-CAPTION-REPR,G1G5_VALIDATION,all_5_docs,academic_paper_mixed,caption_representation_mismatch,T3_GRAPHIC_CONTEXT,coverage limitation (93.7% absorbed by P4 merge),G1,,"YES (full scan, page-cache deterministic)",NO (nothing to organize),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (observation missing),Any judgment requiring the missing observation,NOT_BOUNDARY
P3-TICK-REPR,G1G5_VALIDATION,PH3-EARTH-002,academic_paper_earth_science,tick_representation_mismatch,T3_GRAPHIC_CONTEXT,coverage limitation (6.8% pass CV threshold),G1,,YES (full-scan tick-pair gap distribution),NO (nothing to organize),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (observation missing),Any judgment requiring the missing observation,NOT_BOUNDARY
P3-GC1-FAIL,G1G5_VALIDATION,all_5_docs,academic_paper_mixed,corpus_sufficiency_fail,T3_GRAPHIC_CONTEXT,pre-condition FAIL (3 figure-context < 15 required),G1,,"YES (sampling_manifest, gc1_count)",NO (nothing to organize),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (observation missing),Any judgment requiring the missing observation,NOT_BOUNDARY
P3-CONCENTRATION,G1G5_VALIDATION,PH3-EARTH-002,academic_paper_earth_science,single_document_dominance,T_OTHER,coverage limitation (96.2% from GraphCast),G1,,YES (universe scan by document/page),NO (nothing to organize),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (observation missing),Any judgment requiring the missing observation,NOT_BOUNDARY
IND-AMB-003,G1G5_VALIDATION,ind_arxiv_2402,academic_paper_cs,reference_list_continuation,T2_BOUNDARY_DECISION,MERGE,G3,G5,PARTIAL (period+cap; page_context exists in P7 but not in Evidence Pack),YES (evidence organized),NO (organized but not presented to Human/consumer),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not presented to consumer),Judgment requiring the un-presented evidence,NOT_BOUNDARY
IND-AMB-002,G1G5_VALIDATION,ind_arxiv_2402,academic_paper_cs,reference_list_continuation,T2_BOUNDARY_DECISION,MERGE,G3,G5,PARTIAL (period+cap; page_context exists in P7 but not in Evidence Pack),YES (evidence organized),NO (organized but not presented to Human/consumer),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not presented to consumer),Judgment requiring the un-presented evidence,NOT_BOUNDARY
IND-AMB-052,G1G5_VALIDATION,ind_arxiv_bio2,academic_paper_biology,reference_list_author_title,T2_BOUNDARY_DECISION,MERGE,G3,G5,PARTIAL (period+cap; page_context shows reference list; author pattern),YES (evidence organized),NO (organized but not presented to Human/consumer),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not presented to consumer),Judgment requiring the un-presented evidence,NOT_BOUNDARY
IND-AMB-033,G1G5_VALIDATION,ind_arxiv_bio2,academic_paper_biology,reference_list_author_title,T2_BOUNDARY_DECISION,MERGE,G5,G3,PARTIAL (period+cap; page_context; BUT 'Le.' surname requires semantic knowledge,YES (evidence organized),YES (presented),YES (consumed but semantic interpretation needed),BOUNDARY,Text pair has period+capital boundary signal,Text pair is definitively sentence boundary vs reference continuation,CONFIRMED_EVIDENCE_BOUNDARY
IND-AMB-049,G1G5_VALIDATION,ind_arxiv_bio2,academic_paper_biology,reference_list_author_title,T2_BOUNDARY_DECISION,MERGE,G5,G3,PARTIAL (period+cap; page_context; 'Levine' more recognizable but still semantic,YES (evidence organized),YES (presented),YES (consumed but semantic interpretation needed),BOUNDARY,Text pair has period+capital boundary signal,Text pair is definitively sentence boundary vs reference continuation,CONFIRMED_EVIDENCE_BOUNDARY
IND-AMB-247,G1G5_VALIDATION,ind_qbio_rna,academic_paper_biology,table_cell_fp,T2_BOUNDARY_DECISION,MERGE,G4,G2,YES (P1 text; P2 geometry),YES (evidence organized),YES (presented),NO (presented but consumer didn't use it),INDETERMINATE,Potentially a structural judgment (if consumer used evidence),Semantic identity (not supported by structural evidence alone),"NOT_BOUNDARY (consumer integration gap, not evidence boundary)"
IND-AMB-223,G1G5_VALIDATION,ind_qbio_rna,academic_paper_biology,table_cell_fp,T2_BOUNDARY_DECISION,MERGE,G4,G2,YES (P1 text; P2 geometry),YES (evidence organized),YES (presented),NO (presented but consumer didn't use it),INDETERMINATE,Potentially a structural judgment (if consumer used evidence),Semantic identity (not supported by structural evidence alone),"NOT_BOUNDARY (consumer integration gap, not evidence boundary)"
IND-AMB-235,G1G5_VALIDATION,ind_qbio_rna,academic_paper_biology,table_cell_fp,T2_BOUNDARY_DECISION,MERGE,G4,G2,YES (P1 text; P2 geometry),YES (evidence organized),YES (presented),NO (presented but consumer didn't use it),INDETERMINATE,Potentially a structural judgment (if consumer used evidence),Semantic identity (not supported by structural evidence alone),"NOT_BOUNDARY (consumer integration gap, not evidence boundary)"
IND-AMB-201,G1G5_VALIDATION,ind_arxiv_2402,academic_paper_cs,body_text_citation_fn,T2_BOUNDARY_DECISION,MERGE,G4,,YES (P1 text),YES (evidence organized),YES (presented),NO (presented but consumer didn't use it),INDETERMINATE,Potentially a structural judgment (if consumer used evidence),Semantic identity (not supported by structural evidence alone),"NOT_BOUNDARY (consumer integration gap, not evidence boundary)"
IND-AMB-200,G1G5_VALIDATION,ind_arxiv_2402,academic_paper_cs,reference_list_citation_fn,T2_BOUNDARY_DECISION,MERGE,G4,,YES (P1 text),YES (evidence organized),YES (presented),NO (presented but consumer didn't use it),INDETERMINATE,Potentially a structural judgment (if consumer used evidence),Semantic identity (not supported by structural evidence alone),"NOT_BOUNDARY (consumer integration gap, not evidence boundary)"
MA-UNC-1,G1G5_VALIDATION,is11_efficientnet,academic_paper_cs,text_drawing_association,T1_STRUCTURAL_ASSOCIATION,UNCERTAIN,G1,,PARTIAL (P1 text: FIG prefix; DGF=4 page separators; DEF=0),NO (nothing to organize),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (observation missing),Any judgment requiring the missing observation,NOT_BOUNDARY
MA-UNC-2,G1G5_VALIDATION,arxiv_2402.18619,academic_paper_cs,text_drawing_association,T1_STRUCTURAL_ASSOCIATION,UNCERTAIN,G5,,"YES (extent exists; P1 text: ', with')",YES (evidence organized),YES (presented),YES (consumed but semantic interpretation needed),BOUNDARY,Text and Drawing have spatial/structural association,Text IS the semantic caption/label of this Drawing,CONFIRMED_EVIDENCE_BOUNDARY
MA-UNC-3,G1G5_VALIDATION,is11_med_001,academic_paper_chemistry,text_drawing_association,T1_STRUCTURAL_ASSOCIATION,UNCERTAIN,G1,,"NO (DGF=0, DEF=0, pure text page)",NO (nothing to organize),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (observation missing),Any judgment requiring the missing observation,NOT_BOUNDARY
MA-UNC-4,G1G5_VALIDATION,is11_efficientnet,academic_paper_cs,text_drawing_association,T1_STRUCTURAL_ASSOCIATION,UNCERTAIN,G2,,PARTIAL (DGF=233; DEF=0; aggregation gap),NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
MA-UNC-5,G1G5_VALIDATION,arxiv_2402.18619,academic_paper_cs,text_drawing_association,T1_STRUCTURAL_ASSOCIATION,UNCERTAIN,G5,,YES (extent exists; P1 text: 'Fig.'; context: 'in Fig. 9'),YES (evidence organized),YES (presented),YES (consumed but semantic interpretation needed),BOUNDARY,Text and Drawing have spatial/structural association,Text IS the semantic caption/label of this Drawing,CONFIRMED_EVIDENCE_BOUNDARY
MA-UNC-6,G1G5_VALIDATION,arxiv_2402.18619,academic_paper_cs,text_drawing_association,T1_STRUCTURAL_ASSOCIATION,UNCERTAIN,G5,,YES (extent exists; P1 text: 'Fig.'; context: 'cf. Fig. 3b'),YES (evidence organized),YES (presented),YES (consumed but semantic interpretation needed),BOUNDARY,Text and Drawing have spatial/structural association,Text IS the semantic caption/label of this Drawing,CONFIRMED_EVIDENCE_BOUNDARY
MA-UNC-7,G1G5_VALIDATION,is11_resnet,academic_paper_cs,text_drawing_association,T1_STRUCTURAL_ASSOCIATION,UNCERTAIN,G5,,YES (extent exists; P1 text: 'Fig.'; context: 'in Fig. 3'),YES (evidence organized),YES (presented),YES (consumed but semantic interpretation needed),BOUNDARY,Text and Drawing have spatial/structural association,Text IS the semantic caption/label of this Drawing,CONFIRMED_EVIDENCE_BOUNDARY
MA-UNC-8,G1G5_VALIDATION,is11_med_001,academic_paper_chemistry,text_drawing_association,T1_STRUCTURAL_ASSOCIATION,UNCERTAIN,G3,,PARTIAL (DGF=12338; DEF=1; extent exists but not shown to Human in E0),YES (evidence organized),NO (organized but not presented to Human/consumer),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not presented to consumer),Judgment requiring the un-presented evidence,NOT_BOUNDARY
MA-UNC-9,G1G5_VALIDATION,arxiv_2402.18619,academic_paper_cs,text_drawing_association,T1_STRUCTURAL_ASSOCIATION,UNCERTAIN,G1,,"NO (DGF=0, DEF=0, pure text page)",NO (nothing to organize),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (observation missing),Any judgment requiring the missing observation,NOT_BOUNDARY
MA-UNC-10,G1G5_VALIDATION,is11_efficientnet,academic_paper_cs,text_drawing_association,T1_STRUCTURAL_ASSOCIATION,UNCERTAIN,G3,,YES (extent exists; P2 same_y reconstructs 'We omit ensemble...'),YES (evidence organized),NO (organized but not presented to Human/consumer),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not presented to consumer),Judgment requiring the un-presented evidence,NOT_BOUNDARY
MA-UNC-11,G1G5_VALIDATION,arxiv_2402.18619,academic_paper_cs,text_drawing_association,T1_STRUCTURAL_ASSOCIATION,UNCERTAIN,G5,,YES (extent exists; P1 text: 'scaling'),YES (evidence organized),YES (presented),YES (consumed but semantic interpretation needed),BOUNDARY,Text and Drawing have spatial/structural association,Text IS the semantic caption/label of this Drawing,CONFIRMED_EVIDENCE_BOUNDARY
MA-UNC-12,G1G5_VALIDATION,is11_resnet,academic_paper_cs,text_drawing_association,T1_STRUCTURAL_ASSOCIATION,UNCERTAIN,G2,,PARTIAL (DGF=53 table borders; DEF=0; correctly excluded),NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
MA-UNC-13,G1G5_VALIDATION,is11_efficientnet,academic_paper_cs,text_drawing_association,T1_STRUCTURAL_ASSOCIATION,UNCERTAIN,G3,G5,"YES (DGF=141, DEF=2; extent exists but E0 Pack showed None)",YES (evidence organized),NO (organized but not presented to Human/consumer),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not presented to consumer),Judgment requiring the un-presented evidence,NOT_BOUNDARY
