case_id,task_type,case_type,judgment,e0_evidence_state,e1_evidence_state,e0_extent,e1_extent,e0_ctx_count,e1_ctx_count,overall_change,burden_e0,burden_e1,burden_delta,semantic_boundary_status,evidence_gap_type,evidence_functions_served,p1_ab_arm,p0_change_type,fig_prefix,distance_pt,vertical_relation,x_overlap,drawing_extent_present
is11_efficientnet_p1_307_364,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,EVIDENCE_CORRECTED,0,0,0,N/A (definitive judgment),G3_FIXED_IN_E1,F1+F2+F3+F4+F5+F6,,,True,3.3,below,True,True
is11_efficientnet_p8_328_261,T1_STRUCTURAL_ASSOCIATION,Type_B_negative,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,0,3,EVIDENCE_ADDED,1,0,1,N/A (definitive judgment),G3_FIXED_IN_E1,F1+F2+F3+F4+F5+F6,,,False,0,inside,True,True
is11_med_001_p11_85_291,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,EVIDENCE_CORRECTED,0,0,0,N/A (definitive judgment),G3_FIXED_IN_E1,F1+F2+F3+F4+F5+F6,,,True,15.3,below,True,True
is11_med_001_p15_85_574,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,EVIDENCE_CORRECTED,0,0,0,N/A (definitive judgment),G3_FIXED_IN_E1,F1+F2+F3+F4+F5+F6,,,True,46.0,below,True,True
is11_med_001_p19_85_454,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,EVIDENCE_CORRECTED,0,0,0,N/A (definitive judgment),G3_FIXED_IN_E1,F1+F2+F3+F4+F5+F6,,,True,40.0,below,True,True
is11_resnet_p1_412_338,T1_STRUCTURAL_ASSOCIATION,ambiguous_fragment,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,EVIDENCE_CORRECTED,0,0,0,N/A (definitive judgment),G3_FIXED_IN_E1,F1+F2+F3+F4+F5+F6,,,True,35.4,below,True,True
is11_resnet_p1_435_316,T1_STRUCTURAL_ASSOCIATION,Type_B_negative,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,0,5,EVIDENCE_ADDED,1,0,1,N/A (definitive judgment),G3_FIXED_IN_E1,F1+F2+F3+F4+F5+F6,E0,MODERATE_context_state,False,13.5,below,True,True
is11_resnet_p4_309_134,T1_STRUCTURAL_ASSOCIATION,reference_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,EVIDENCE_CORRECTED,0,0,0,N/A (definitive judgment),G3_FIXED_IN_E1,F1+F2+F3+F4+F5+F6,E0,MINOR_state_5pt,True,32.1,above,False,True
is11_resnet_p4_320_146,T1_STRUCTURAL_ASSOCIATION,ambiguous_fragment,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,EVIDENCE_CORRECTED,0,0,0,N/A (definitive judgment),G3_FIXED_IN_E1,F1+F2+F3+F4+F5+F6,,,True,20.1,above,False,True
is11_resnet_p6_309_157,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,EVIDENCE_CORRECTED,0,0,0,N/A (definitive judgment),G3_FIXED_IN_E1,F1+F2+F3+F4+F5+F6,,,True,14.1,below,True,True
is11_resnet_p8_50_328,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,EVIDENCE_CORRECTED,1,1,0,N/A (definitive judgment),G3_FIXED_IN_E1,F1+F2+F3+F4+F5+F6,,,True,-265.2,above,True,True
arxiv_2402.18619_p15_498_182,T1_STRUCTURAL_ASSOCIATION,Type_B_negative,uncertain,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,0,5,EVIDENCE_ADDED,1,0,1,POSSIBLE_SEMANTIC_BOUNDARY,G5_SEMANTIC_BOUNDARY_POSSIBLE,F1+F2+F3+F4+F5+F6,,,False,0,inside,False,True
arxiv_2402.18619_p18_346_73,T1_STRUCTURAL_ASSOCIATION,Type_B_negative,uncertain,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,0,5,EVIDENCE_ADDED,1,1,0,POSSIBLE_SEMANTIC_BOUNDARY (minimal burden),G5_SEMANTIC_BOUNDARY_POSSIBLE,F1+F2+F3+F4+F5+F6,E1,MODERATE_context_state,False,-9.7,above,True,True
arxiv_2402.18619_p19_147_496,T1_STRUCTURAL_ASSOCIATION,ambiguous_fragment,uncertain,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,POSSIBLE_SEMANTIC_BOUNDARY,G5_SEMANTIC_BOUNDARY_POSSIBLE,F1+F2+F3+F4+F5+F6,E0,MINOR_state_5pt,True,56.4,above,True,True
arxiv_2402.18619_p26_327_253,T1_STRUCTURAL_ASSOCIATION,ambiguous_fragment,uncertain,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,POSSIBLE_SEMANTIC_BOUNDARY,G5_SEMANTIC_BOUNDARY_POSSIBLE,F1+F2+F3+F4+F5+F6,,,True,38.8,above,True,True
is11_efficientnet_p4_66_331,T1_STRUCTURAL_ASSOCIATION,Type_A_negative,uncertain,"UNKNOWN (extent=None, no state)",EXTENT_EXISTS,None,set,0,5,EVIDENCE_ADDED,3,0,3,POSSIBLE_SEMANTIC_BOUNDARY,G5_SEMANTIC_BOUNDARY_POSSIBLE,F1+F2+F3+F4+F5+F6,E1,MAJOR_extent_context_state,True,-1,none,False,False
is11_efficientnet_p6_79_415,T1_STRUCTURAL_ASSOCIATION,Type_B_negative,uncertain,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,0,5,EVIDENCE_ADDED,1,0,1,POSSIBLE_SEMANTIC_BOUNDARY,G5_SEMANTIC_BOUNDARY_POSSIBLE,F1+F2+F3+F4+F5+F6,E1,MODERATE_context_state,False,21.9,above,False,True
is11_med_001_p15_244_342,T1_STRUCTURAL_ASSOCIATION,Type_B_negative,uncertain,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,0,5,EVIDENCE_ADDED,1,0,1,POSSIBLE_SEMANTIC_BOUNDARY,G5_SEMANTIC_BOUNDARY_POSSIBLE,F1+F2+F3+F4+F5+F6,,,False,33.1,above,True,True
is11_med_001_p15_498_107,T1_STRUCTURAL_ASSOCIATION,Type_A_negative,uncertain,"UNKNOWN (extent=None, no state)",EXTENT_EXISTS,None,set,0,5,EVIDENCE_ADDED,3,0,3,POSSIBLE_SEMANTIC_BOUNDARY,G5_SEMANTIC_BOUNDARY_POSSIBLE,F1+F2+F3+F4+F5+F6,E0,MAJOR_extent_context_state,True,-1,none,False,False
is11_resnet_p4_464_620,T1_STRUCTURAL_ASSOCIATION,ambiguous_fragment,uncertain,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,POSSIBLE_SEMANTIC_BOUNDARY,G5_SEMANTIC_BOUNDARY_POSSIBLE,F1+F2+F3+F4+F5+F6,E1,MINOR_state_5pt,True,38.4,below,False,True
arxiv_2402.18619_p10_132_629,T1_STRUCTURAL_ASSOCIATION,ambiguous_fragment,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,56.9,below,False,True
arxiv_2402.18619_p10_183_252,T1_STRUCTURAL_ASSOCIATION,ambiguous_fragment,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,18.4,above,True,True
arxiv_2402.18619_p10_72_581,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,8.3,below,True,True
arxiv_2402.18619_p12_180_706,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,45.7,below,True,True
arxiv_2402.18619_p14_72_243,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,8.5,below,True,True
arxiv_2402.18619_p15_74_275,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,44.4,below,True,True
arxiv_2402.18619_p16_172_568,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,30.2,below,True,True
arxiv_2402.18619_p17_121_581,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,24.5,below,True,True
arxiv_2402.18619_p17_72_184,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,8.5,below,True,True
arxiv_2402.18619_p18_134_293,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,49.4,below,True,True
arxiv_2402.18619_p18_432_93,T1_STRUCTURAL_ASSOCIATION,ambiguous_fragment,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,E0,MINOR_state_5pt,True,0,inside,True,True
arxiv_2402.18619_p19_339_297,T1_STRUCTURAL_ASSOCIATION,ambiguous_fragment,no,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,E1,MINOR_state_5pt,True,56.8,below,True,True
arxiv_2402.18619_p19_72_248,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,8.5,below,True,True
arxiv_2402.18619_p19_72_733,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,33.1,below,True,True
arxiv_2402.18619_p19_83_745,T1_STRUCTURAL_ASSOCIATION,ambiguous_fragment,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,3,3,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,45.1,below,False,True
arxiv_2402.18619_p24_72_646,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,53.1,below,True,True
arxiv_2402.18619_p28_107_234,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,55.2,below,True,True
arxiv_2402.18619_p28_152_95,T1_STRUCTURAL_ASSOCIATION,subfigure_label,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,2,2,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,0,inside,True,True
arxiv_2402.18619_p28_256_214,T1_STRUCTURAL_ASSOCIATION,ambiguous_fragment,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,35.7,below,True,True
arxiv_2402.18619_p28_457_234,T1_STRUCTURAL_ASSOCIATION,ambiguous_fragment,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,E1,MINOR_state_5pt,True,55.2,below,True,True
arxiv_2402.18619_p28_458_160,T1_STRUCTURAL_ASSOCIATION,subfigure_label,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,2,2,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,0,inside,True,True
arxiv_2402.18619_p28_479_214,T1_STRUCTURAL_ASSOCIATION,ambiguous_fragment,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,35.7,below,True,True
is11_cs_001_p1_108_651,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,E1,MINOR_state_5pt,True,0,inside,True,True
is11_cs_001_p4_108_225,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,7.0,below,True,True
is11_cs_001_p5_108_225,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,7.1,below,True,True
is11_efficientnet_p4_188_461,T1_STRUCTURAL_ASSOCIATION,ambiguous_fragment,no,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,E0,MINOR_state_5pt,True,20.1,below,False,True
is11_efficientnet_p4_307_448,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,E1,MINOR_state_5pt,True,6.9,below,True,True
is11_efficientnet_p4_55_218,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,33.7,below,False,True
is11_efficientnet_p6_307_629,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,3.3,below,True,True
is11_efficientnet_p6_511_629,T1_STRUCTURAL_ASSOCIATION,ambiguous_fragment,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,3.2,below,True,True
is11_efficientnet_p7_55_455,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,1,1,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,-220.6,above,False,True
is11_efficientnet_p8_307_390,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,1,1,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,-156.6,above,True,True
is11_efficientnet_p8_467_415,T1_STRUCTURAL_ASSOCIATION,ambiguous_fragment,no,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,E1,MINOR_state_5pt,True,25.5,below,True,True
is11_efficientnet_p8_55_213,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,19.9,above,False,True
is11_med_001_p13_85_307,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,32.1,below,False,True
is11_med_001_p14_85_386,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,15.3,below,False,True
is11_med_001_p15_261_316,T1_STRUCTURAL_ASSOCIATION,ambiguous_fragment,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,E0,MINOR_state_5pt,True,55.0,above,True,True
is11_med_001_p16_85_484,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,15.3,below,False,True
is11_med_001_p20_85_340,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,E0,MINOR_state_5pt,True,34.6,below,True,True
is11_med_001_p23_85_395,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,E1,MINOR_state_5pt,True,15.3,below,True,True
is11_med_001_p24_85_572,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,54.8,below,False,True
is11_med_001_p8_85_211,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,22.9,below,True,True
is11_med_001_p9_85_321,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,40.4,below,True,True
is11_resnet_p1_309_305,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,2.5,below,True,True
is11_resnet_p2_87_158,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,16.1,below,True,True
is11_resnet_p4_50_633,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,51.6,below,True,True
is11_resnet_p5_359_225,T1_STRUCTURAL_ASSOCIATION,ambiguous_fragment,no,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,E0,MINOR_state_5pt,True,17.8,above,True,True
is11_resnet_p5_50_392,T1_STRUCTURAL_ASSOCIATION,caption_like,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,2.7,below,True,True
is11_resnet_p6_478_168,T1_STRUCTURAL_ASSOCIATION,ambiguous_fragment,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,UNCHANGED,0,0,0,N/A (definitive judgment),L5_SUFFICIENT_NO_GAP,F1+F2+F3+F4+F5+F6,,,True,25.1,below,True,True
