case_id,document_id,problem_type,G1,G2,G3,G4,G5,PRIMARY_GAP,SECONDARY_GAP,EVIDENCE_AVAILABLE,EVIDENCE_SUFFICIENT_FOR_HUMAN,CURRENT_EVIDENCE_FUNCTIONS_AVAILABLE,CLASSIFICATION_CONFIDENCE,CLASSIFICATION_BASIS,CLASSIFICATION_SOURCE
IS11-AMB-418,is11_med_001,prose_sentence_boundary,,,,,YES,G5,G3,PARTIAL,YES,F1_LEXICAL+F1_LEXICAL_PATTERN,HIGH,period+cap derivable but 'text unit' (sentence vs paragraph) undefined — genuine standard/semantic gap,4/4 disagreements: STANDARD_GAP
IS11-AMB-422,is11_med_001,figure_caption_association,,YES,,,,G2,G4,PARTIAL,YES,F1_LEXICAL+F2_F3_F4_F5_SPATIAL,HIGH,P1 text (FIG prefix) + P2 geometry (h_gap>8pt) exist but caption association evidence class not queried; IS-11 doesn't compute has_fig_prefix,CC-01: P4 8pt threshold < real caption gap 10.5-18.1pt
IS11-AMB-457,is11_cs_001,table_header_boundary,,YES,,,,G2,G4,PARTIAL,NO,F1_LEXICAL+F2_F3_F4_F5_SPATIAL+F11_STRUCTURE_CONTEXT,HIGH,"Evidence exists (P1 text, P2 geometry) but TLD did not detect table → column relation not organized",Discourse audit: 17/17 EVIDENCE_ORG_GAP; DCE06: TLD detection failure
IS11-AMB-462,is11_cs_001,table_header_boundary,,YES,,,,G2,G4,PARTIAL,NO,F1_LEXICAL+F11_STRUCTURE_CONTEXT,HIGH,"Evidence exists (P1 text, P2 geometry) but TLD did not detect table → column relation not organized",Discourse audit: 17/17 EVIDENCE_ORG_GAP; DCE06: TLD detection failure
IS11-AMB-467,is11_cs_001,table_column_boundary,,YES,,,,G2,G4,PARTIAL,NO,F1_LEXICAL+F2_F3_F4_F5_SPATIAL+F11_STRUCTURE_CONTEXT,HIGH,"Evidence exists (P1 text, P2 geometry) but TLD did not detect table → column relation not organized",Discourse audit: 17/17 EVIDENCE_ORG_GAP; DCE06: TLD detection failure
IS11-AMB-483,is11_cs_001,table_column_boundary,,YES,,,,G2,G4,PARTIAL,NO,F1_LEXICAL+F2_F3_F4_F5_SPATIAL+F11_STRUCTURE_CONTEXT,HIGH,"Evidence exists (P1 text, P2 geometry) but TLD did not detect table → column relation not organized",Discourse audit: 17/17 EVIDENCE_ORG_GAP; DCE06: TLD detection failure
IS11-AMB-505,is11_cs_001,table_column_boundary,,YES,,,,G2,G4,PARTIAL,NO,F1_LEXICAL+F2_F3_F4_F5_SPATIAL+F11_STRUCTURE_CONTEXT,HIGH,"Evidence exists (P1 text, P2 geometry) but TLD did not detect table → column relation not organized",Discourse audit: 17/17 EVIDENCE_ORG_GAP; DCE06: TLD detection failure
IS11-AMB-514,is11_cs_001,table_column_boundary,,YES,,,,G2,G4,PARTIAL,NO,F1_LEXICAL+F2_F3_F4_F5_SPATIAL+F11_STRUCTURE_CONTEXT,HIGH,"Evidence exists (P1 text, P2 geometry) but TLD did not detect table → column relation not organized",Discourse audit: 17/17 EVIDENCE_ORG_GAP; DCE06: TLD detection failure
IS11-AMB-519,is11_cs_001,prose_sentence_boundary,,,,,YES,G5,G3,PARTIAL,YES,F1_LEXICAL+F1_LEXICAL_PATTERN,HIGH,period+cap derivable but 'text unit' (sentence vs paragraph) undefined — genuine standard/semantic gap,4/4 disagreements: STANDARD_GAP
IS11-AMB-005,is11_resnet,prose_sentence_boundary,,,,,YES,G5,G3,PARTIAL,YES,F11_STRUCTURE_CONTEXT+F1_LEXICAL_PATTERN,HIGH,period+cap derivable but 'text unit' (sentence vs paragraph) undefined — genuine standard/semantic gap,4/4 disagreements: STANDARD_GAP
IS11-AMB-024,is11_resnet,table_column_boundary,,,YES,,,G3,G4,YES,PARTIAL,F11_STRUCTURE_CONTEXT,HIGH,TLD correct but cell info not exposed to P722 participant — evidence organized but not presented for human consumption,AMB-032: P722 UNKNOWN 45.9s
IS11-AMB-034,is11_resnet,table_column_boundary,,,YES,,,G3,G4,YES,PARTIAL,F11_STRUCTURE_CONTEXT,HIGH,TLD correct but cell info not exposed to P722 participant — evidence organized but not presented for human consumption,AMB-032: P722 UNKNOWN 45.9s
IS11-AMB-074,is11_resnet,table_column_boundary,,,YES,,,G3,G4,YES,PARTIAL,F11_STRUCTURE_CONTEXT,HIGH,TLD correct but cell info not exposed to P722 participant — evidence organized but not presented for human consumption,AMB-032: P722 UNKNOWN 45.9s
IS11-AMB-346,is11_efficientnet,table_column_boundary,,,YES,,,G3,G4,YES,PARTIAL,F11_STRUCTURE_CONTEXT,HIGH,TLD correct but cell info not exposed to P722 participant — evidence organized but not presented for human consumption,AMB-032: P722 UNKNOWN 45.9s
IS11-AMB-350,is11_efficientnet,table_column_boundary,,,YES,,,G3,G4,YES,PARTIAL,F11_STRUCTURE_CONTEXT,HIGH,TLD correct but cell info not exposed to P722 participant — evidence organized but not presented for human consumption,AMB-032: P722 UNKNOWN 45.9s
IS11-AMB-522,is11_cs_001,table_header_boundary,,,YES,,,G3,G4,YES,PARTIAL,F11_STRUCTURE_CONTEXT,HIGH,TLD correct but cell info not exposed to P722 participant — evidence organized but not presented for human consumption,AMB-032: P722 UNKNOWN 45.9s
IS11-AMB-530,is11_cs_001,table_column_boundary,,,YES,,,G3,G4,YES,PARTIAL,F11_STRUCTURE_CONTEXT,HIGH,TLD correct but cell info not exposed to P722 participant — evidence organized but not presented for human consumption,AMB-032: P722 UNKNOWN 45.9s
IS11-AMB-032,is11_resnet,table_column_boundary,,,YES,,,G3,G4,YES,PARTIAL,F2_F3_F4_F5_SPATIAL+F11_STRUCTURE_CONTEXT,HIGH,TLD correct (different_cell=True) but cell info not exposed to P722 participant — evidence organized but not presented for human consumption,AMB-032: P722 UNKNOWN 45.9s
IS11-AMB-052,is11_resnet,table_column_boundary,,YES,,,,G2,G4,PARTIAL,NO,F11_STRUCTURE_CONTEXT,HIGH,"Evidence exists (P1 text, P2 geometry) but TLD did not detect table → column relation not organized",Discourse audit: 17/17 EVIDENCE_ORG_GAP; DCE06: TLD detection failure
IS11-AMB-163,is11_efficientnet,table_column_boundary,,YES,,,,G2,G4,PARTIAL,NO,F11_STRUCTURE_CONTEXT,HIGH,"Evidence exists (P1 text, P2 geometry) but TLD did not detect table → column relation not organized",Discourse audit: 17/17 EVIDENCE_ORG_GAP; DCE06: TLD detection failure
IS11-AMB-267,is11_efficientnet,table_column_boundary,,YES,,,,G2,G4,PARTIAL,NO,F11_STRUCTURE_CONTEXT,HIGH,"Evidence exists (P1 text, P2 geometry) but TLD did not detect table → column relation not organized",Discourse audit: 17/17 EVIDENCE_ORG_GAP; DCE06: TLD detection failure
IS11-AMB-318,is11_efficientnet,table_column_boundary,,YES,,,,G2,G4,PARTIAL,NO,F11_STRUCTURE_CONTEXT,HIGH,"Evidence exists (P1 text, P2 geometry) but TLD did not detect table → column relation not organized",Discourse audit: 17/17 EVIDENCE_ORG_GAP; DCE06: TLD detection failure
P3-INCIDENT-1,PH3-MED-001,figure_axis_tick_detection,,YES,,,,G2,,YES,YES,F1_LEXICAL,MEDIUM,"OBS-C implementation error — greedy expansion stalled, ticks failed validation","Phase 3 INCIDENT-1: observer bug (fixed, not framework gap)"
P3-AMB-018,PH3-ASTRO-001,header_contamination_table_fp,,YES,,,,G2,,YES,NO,F1_LEXICAL+F2_F3_F4_F5_SPATIAL,HIGH,Letter-spaced journal header detected as table row — discriminative evidence (page-top y + cross-page repetition + letter-spaced) exists but not queried,"CC-03: header contamination, 30/54 in_table FP"
P3-AMB-019,PH3-ASTRO-001,header_contamination_table_fp,,YES,,,,G2,,YES,NO,F1_LEXICAL+F2_F3_F4_F5_SPATIAL,HIGH,Letter-spaced journal header detected as table row — discriminative evidence (page-top y + cross-page repetition + letter-spaced) exists but not queried,"CC-03: header contamination, 30/54 in_table FP"
P3-AMB-089,PH3-EARTH-001,author_affiliation_table_fp,,YES,,,,G2,,YES,NO,F1_LEXICAL,MEDIUM,Author affiliation text detected as table — structural context not organized,Phase 3: IS-11 over-detection
P3-CV-FAIL,PH3-EARTH-002,tick_run_definition_boundary,YES,,,,,G1,,PARTIAL,NO,F1_LEXICAL,MEDIUM,Variable-width number axis labels exceed frozen CV>0.15 threshold,Phase 3: definitional exclusion
P3-RASTER-1,PH3-ASTRO-001,raster_figure_text_invisible,YES,,,,,G1,,NO,NO,F1_LEXICAL,HIGH,"Raster figure — text embedded in image, invisible to any text observer",Phase 3 G-C3: OBS-D AUXILIARY ONLY
P3-RASTER-2,PH3-EARTH-001,raster_figure_text_invisible,YES,,,,,G1,,NO,NO,F1_LEXICAL,HIGH,"Raster figure — text embedded in image, invisible to any text observer",Phase 3 G-C3: OBS-D AUXILIARY ONLY
P3-CAPTION-REPR,all_5_docs,caption_representation_mismatch,YES,,,,,G1,,PARTIAL,NO,F1_LEXICAL,MEDIUM,93.7% of caption-context pairs absorbed by P4 merge — never enter AMBIGUOUS universe,Phase 3 H3: representation gap in candidate universe
P3-TICK-REPR,PH3-EARTH-002,tick_representation_mismatch,YES,,,,,G1,,PARTIAL,NO,F1_LEXICAL,MEDIUM,6.8% of tick pairs pass CV threshold — variable-width digits structurally excluded,Phase 3 H3: frozen CV threshold excludes research object
P3-GC1-FAIL,all_5_docs,corpus_sufficiency_fail,YES,,,,,G1,,NO,NO,F1_LEXICAL,HIGH,Corpus has insufficient figure-context cases — nothing to evaluate,Phase 3 G-C1: 3 cases < 15 required
P3-CONCENTRATION,PH3-EARTH-002,single_document_dominance,YES,,,,,G1,,YES,NO,F1_LEXICAL,MEDIUM,96.2% of figure-context cases from single document — sample coverage gap,Phase 3: concentration in GraphCast
IND-AMB-003,ind_arxiv_2402,reference_list_continuation,,,YES,,,G3,G5,PARTIAL,YES,F1_LEXICAL+F1_LEXICAL_PATTERN,HIGH,page_context (reference list structure) exists in P7 but NOT in Evidence Pack → evidence not presented; period+cap ambiguous,HVA: A_INSUFFICIENT_B_SUFFICIENT — page_context resolves
IND-AMB-002,ind_arxiv_2402,reference_list_continuation,,,YES,,,G3,G5,PARTIAL,YES,F1_LEXICAL+F1_LEXICAL_PATTERN,HIGH,page_context (reference list structure) exists in P7 but NOT in Evidence Pack → evidence not presented; period+cap ambiguous,HVA: A_INSUFFICIENT_B_SUFFICIENT — page_context resolves
IND-AMB-052,ind_arxiv_bio2,reference_list_author_title,,,YES,,,G3,G5,PARTIAL,YES,F1_LEXICAL+F1_LEXICAL_PATTERN,MEDIUM,page_context exists but not in Evidence Pack; author pattern detectable,HVA: A_INSUFFICIENT_B_SUFFICIENT
IND-AMB-033,ind_arxiv_bio2,reference_list_author_title,,,,,YES,G5,G3,PARTIAL,YES,F1_LEXICAL+F1_LEXICAL_PATTERN,HIGH,Author-name recognition requires semantic/world knowledge — genuine semantic boundary; page_context reduces but doesn't eliminate,HVA: A_INSUFFICIENT_B_PARTIAL — semantic boundary
IND-AMB-049,ind_arxiv_bio2,reference_list_author_title,,,,,YES,G5,G3,PARTIAL,YES,F1_LEXICAL+F1_LEXICAL_PATTERN,HIGH,Author-name recognition requires semantic/world knowledge — genuine semantic boundary; page_context reduces but doesn't eliminate,HVA: A_INSUFFICIENT_B_PARTIAL — semantic boundary
IND-AMB-247,ind_qbio_rna,table_cell_fp,,,,YES,,G4,G2,YES,YES,F1_LEXICAL+F2_F3_F4_F5_SPATIAL,HIGH,"IS-01/IS-02 false-trigger on table cell values — evidence exists but consumer uses binary heuristic, not structural evidence",P7: IS-01 false-trigger; DCE: information loss
IND-AMB-223,ind_qbio_rna,table_cell_fp,,,,YES,,G4,G2,YES,YES,F1_LEXICAL+F2_F3_F4_F5_SPATIAL,HIGH,"IS-01/IS-02 false-trigger on table cell values — evidence exists but consumer uses binary heuristic, not structural evidence",P7: IS-01 false-trigger; DCE: information loss
IND-AMB-235,ind_qbio_rna,table_cell_fp,,,,YES,,G4,G2,YES,YES,F1_LEXICAL+F2_F3_F4_F5_SPATIAL,HIGH,"IS-01/IS-02 false-trigger on table cell values — evidence exists but consumer uses binary heuristic, not structural evidence",P7: IS-01 false-trigger; DCE: information loss
IND-AMB-201,ind_arxiv_2402,body_text_citation_fn,,,,YES,,G4,,YES,YES,F1_LEXICAL,MEDIUM,IS-01/IS-02 both False → default KEEP → FN. Citation fragments not recognized.,P7: consumer integration gap
IND-AMB-200,ind_arxiv_2402,reference_list_citation_fn,,,,YES,,G4,,YES,YES,F1_LEXICAL,MEDIUM,IS-01/IS-02 both False → default KEEP → FN. Consumer doesn't use text content semantic.,P7: consumer integration gap
MA-UNC-1,is11_efficientnet,text_drawing_association,YES,,,,,G1,,PARTIAL,YES,F1_LEXICAL+F2_SPATIAL_REFERENCE,MEDIUM,Cross-page reference — figure on another page; page separators correctly excluded,Gap diagnostic: observation coverage gap
MA-UNC-2,arxiv_2402.18619,text_drawing_association,,,,,YES,G5,,YES,YES,F1_LEXICAL+F2_SPATIAL_REFERENCE,HIGH,"Extent exists, text shown, but role (caption vs reference / label vs body) genuinely ambiguous",Pilot: POSSIBLE_SEMANTIC_BOUNDARY
MA-UNC-3,is11_med_001,text_drawing_association,YES,,,,,G1,,NO,NO,F1_LEXICAL+F2_SPATIAL_REFERENCE,HIGH,"Nothing to observe — pure text page, figure on another page","Gap diagnostic: DGF=0, DEF=0, NTB=0"
MA-UNC-4,is11_efficientnet,text_drawing_association,,YES,,,,G2,,PARTIAL,YES,F2_SPATIAL_REFERENCE,MEDIUM,233 primitives exist but no extent formed — aggregation parameter gap,Gap diagnostic: possible true organization gap
MA-UNC-5,arxiv_2402.18619,text_drawing_association,,,,,YES,G5,,YES,YES,F1_LEXICAL+F2_SPATIAL_REFERENCE,HIGH,Fig. fragment near drawing — caption for THIS drawing or reference to ANOTHER? Genuine semantic ambiguity,"Pilot: Category C, POSSIBLE_SEMANTIC_BOUNDARY"
MA-UNC-6,arxiv_2402.18619,text_drawing_association,,,,,YES,G5,,YES,YES,F1_LEXICAL+F2_SPATIAL_REFERENCE,HIGH,Fig. fragment near drawing — caption for THIS drawing or reference to ANOTHER? Genuine semantic ambiguity,"Pilot: Category C, POSSIBLE_SEMANTIC_BOUNDARY"
MA-UNC-7,is11_resnet,text_drawing_association,,,,,YES,G5,,YES,YES,F1_LEXICAL+F2_SPATIAL_REFERENCE,HIGH,Fig. fragment near drawing — caption for THIS drawing or reference to ANOTHER? Genuine semantic ambiguity,"Pilot: Category C, POSSIBLE_SEMANTIC_BOUNDARY"
MA-UNC-8,is11_med_001,text_drawing_association,,,YES,,,G3,,YES,YES,F2_SPATIAL_REFERENCE,HIGH,Extent exists on page but Evidence Pack showed None — evidence not presented to Human,P0 Pattern A: 60pt dual-use threshold
MA-UNC-9,arxiv_2402.18619,text_drawing_association,YES,,,,,G1,,NO,NO,F1_LEXICAL+F2_SPATIAL_REFERENCE,HIGH,"Nothing to observe — pure text page, figure on another page","Gap diagnostic: DGF=0, DEF=0, NTB=0"
MA-UNC-10,is11_efficientnet,text_drawing_association,,,YES,,,G3,,YES,YES,F6_TEXT_RECONSTRUCTION+F2_SPATIAL_REFERENCE,HIGH,Same_y context available but not shown in E0 Pack — evidence not presented,P0 Pattern B: context empty for negatives
MA-UNC-11,arxiv_2402.18619,text_drawing_association,,,,,YES,G5,,YES,YES,F1_LEXICAL+F2_SPATIAL_REFERENCE,HIGH,"Extent exists, text shown, but role (caption vs reference / label vs body) genuinely ambiguous",Pilot: POSSIBLE_SEMANTIC_BOUNDARY
MA-UNC-12,is11_resnet,text_drawing_association,,YES,,,,G2,,PARTIAL,YES,F2_SPATIAL_REFERENCE,MEDIUM,"53 primitives are table borders, correctly excluded — cross-page reference","Gap diagnostic: correctly excluded, cross-page ref"
MA-UNC-13,is11_efficientnet,text_drawing_association,,,YES,,,G3,G5,YES,YES,F2_SPATIAL_REFERENCE,MEDIUM,Evidence exists but specific gap requires case-level diagnosis,M-A pilot case
MA-UNC-14,is11_med_001,text_drawing_association,,,YES,,,G3,,YES,YES,F6_TEXT_RECONSTRUCTION+F2_SPATIAL_REFERENCE,HIGH,Same_y context available but not shown in E0 Pack — evidence not presented,P0 Pattern B: context empty for negatives
PH02-RESEARCH-OBJECT-MISMATCH,is11_efficientnet,column_membership_adjudication,,,,YES,,G4,G2,YES,YES,F7_ALIGNMENT,HIGH,PH02 rejected — whole left_alignment_group treated as column but 10th member is prose token. Research-object mismatch.,"PH02: REJECTED, route exhausted"
PH02-SPECIFICITY-VALUE-COL,is11_resnet,column_membership_specificity,,,,,YES,G5,G4,YES,YES,F1_LEXICAL,HIGH,Value column near-perfect equidistance indistinguishable from row-number column — genuine structural ambiguity,PH02: specificity risk demonstrated
PH02-SPECIFICITY-CS001,is11_cs_001,column_membership_specificity,,,,,YES,G5,G4,YES,YES,F1_LEXICAL,HIGH,Value column near-perfect equidistance indistinguishable from row-number column — genuine structural ambiguity,PH02: specificity risk demonstrated
