case_id,boundary_type,current_evidence,missing_evidence,evidence_source,expansion_level,human_cost,semantic_boundary,expansion_status,reusable_expansion_pattern,notes
MA-UNC-11,B5 (structural evidence has ceiling),"text content (F1 LEXICAL), drawing extent (F2 SPATIAL_REFERENCE), proximity (F3), positional context (F4), alignment (F5), same_y context (F6)",MISSING_SEMANTIC_INFORMATION (caption vs reference identity),E3 (semantic text understanding not in current system),E4 (even more structural evidence cannot resolve; genuine semantic boundary),UNKNOWN,YES (genuine G5 from boundary structure research),NOT_SUPPORTED,PATTERN_CANDIDATE: Spatial-to-semantic cases are genuine G5 (no expansion possible),task=Text-Drawing Association (T1); problem=text_drawing_association; G5=CONFIRMED_EVIDENCE_BOUNDARY; cluster=SPATIAL_TO_SEMANTIC; semantic_dep=TEXT_SEMANTIC_ROLE — requires understanding whether text describes or references the drawing; more_struct=STRUCTURAL_EVIDENCE_NOT_SUFFICIENT
PH02-SPECIFICITY-VALUE-COL,B5 (structural evidence has ceiling),"column alignment (F12 COLUMN_MEMBERSHIP), left_alignment_group, same_x_band, text content (F1)",MISSING_SEMANTIC_INFORMATION (column type: row-number vs data-value),E3 (semantic content understanding not in current system),E4 (even more structural evidence cannot resolve; genuine semantic boundary),UNKNOWN,YES (genuine G5 from boundary structure research),NOT_SUPPORTED,PATTERN_CANDIDATE: Structural-to-semantic cases are genuine G5 (no expansion possible),task=Column Membership Decision (T2); problem=column_membership_specificity; G5=CONFIRMED_EVIDENCE_BOUNDARY; cluster=STRUCTURAL_TO_SEMANTIC; semantic_dep=COLUMN_SEMANTIC_TYPE — requires understanding the semantic meaning of numeric content; more_struct=STRUCTURAL_EVIDENCE_NOT_SUFFICIENT
PH02-SPECIFICITY-CS001,B5 (structural evidence has ceiling),"column alignment (F12 COLUMN_MEMBERSHIP), left_alignment_group, same_x_band, text content (F1)",MISSING_SEMANTIC_INFORMATION (column type: row-number vs data-value),E3 (semantic content understanding not in current system),E4 (even more structural evidence cannot resolve; genuine semantic boundary),UNKNOWN,YES (genuine G5 from boundary structure research),NOT_SUPPORTED,PATTERN_CANDIDATE: Structural-to-semantic cases are genuine G5 (no expansion possible),task=Column Membership Decision (T2); problem=column_membership_specificity; G5=CONFIRMED_EVIDENCE_BOUNDARY; cluster=STRUCTURAL_TO_SEMANTIC; semantic_dep=COLUMN_SEMANTIC_TYPE — requires understanding the semantic meaning of numeric content; more_struct=STRUCTURAL_EVIDENCE_NOT_SUFFICIENT
is11_efficientnet_p3_319_69,B1 (evidence doesn't exist — drawing not observed),fig=True; state=PRIMITIVES_NO_EXTENT; ctx=5; burden=2,MISSING_OBSERVATION (drawing extent not extracted),E3 (drawing observation missing from system),E3 (must add drawing observation to resolve),HIGH (Human cannot assess without drawing; currently must view original PDF),"NO (not G5; evidence is missing, not at semantic ceiling)","CONDITIONAL (if observation added, may resolve)",PATTERN: Type_A_negative + PRIMITIVES → needs drawing observation (E3),doc=is11_efficientnet; case_type=Type_A_negative; sem_boundary=EVIDENCE_INSUFFICIENT (not semantic boundary); note=Type A: FIG-prefix on page with no aggregated drawing extent
arxiv_2402.18619_p15_498_182,B4 (evidence provided but Human still uncertain),fig=False; state=EXTENT_EXISTS; ctx=5; burden=0,MISSING_SEMANTIC_INFORMATION (text role: axis label vs annotation vs body text),E3 (semantic text understanding not in current system),E4 (even more structural evidence cannot resolve; semantic boundary),HIGH (Human must determine text's semantic role),YES (genuine G5; text semantic role unclear),NOT_SUPPORTED,PATTERN: Type_B_negative → genuine G5 (text semantic role unclear),"doc=arxiv_2402.18619; case_type=Type_B_negative; sem_boundary=POSSIBLE_SEMANTIC_BOUNDARY; note=Type B: "", with"" near drawing — could be axis label, annotat"
arxiv_2402.18619_p18_346_73,B4 (evidence provided but Human still uncertain),fig=False; state=EXTENT_EXISTS; ctx=5; burden=1,MISSING_SEMANTIC_INFORMATION (text role: axis label vs annotation vs body text),E3 (semantic text understanding not in current system),E4 (even more structural evidence cannot resolve; semantic boundary),HIGH (Human must determine text's semantic role),YES (genuine G5; text semantic role unclear),NOT_SUPPORTED,PATTERN: Type_B_negative → genuine G5 (text semantic role unclear),"doc=arxiv_2402.18619; case_type=Type_B_negative; sem_boundary=POSSIBLE_SEMANTIC_BOUNDARY (minimal burden); note=Type B: ""scaling"" near drawing — could be axis label, annota"
is11_efficientnet_p4_66_331,B2 (evidence exists but drawing not linked to text),fig=True; state=EXTENT_EXISTS; ctx=5; burden=0,MISSING_STRUCTURAL_CONTEXT (FIG-prefix text but no drawing extent linked),E2 (drawing exists on page but not linked to this text),E2 (reorganizing existing drawing-text linkage may resolve),MEDIUM (Human needs drawing-text linkage),PARTIAL (may resolve with linkage; may be G5 if linkage doesn't help),CONDITIONAL,PATTERN: Type_A_negative + EXTENT_EXISTS → needs drawing-text linkage (E2),doc=is11_efficientnet; case_type=Type_A_negative; sem_boundary=POSSIBLE_SEMANTIC_BOUNDARY; note=Type A: FIG-prefix on page with no aggregated drawing extent
arxiv_2402.18619_p19_147_496,B4 (evidence provided but Human still uncertain),fig=True; state=EXTENT_EXISTS; ctx=5; burden=0,MISSING_SEMANTIC_INFORMATION (caption vs in-text reference identity),E3 (semantic text understanding not in current system),E4 (Human already checked context; still uncertain; genuine semantic boundary),HIGH (Human checked context but still uncertain),YES (genuine G5; caption vs reference ambiguity),NOT_SUPPORTED,PATTERN: ambiguous_fragment → genuine G5 (caption vs reference),"doc=arxiv_2402.18619; case_type=ambiguous_fragment; sem_boundary=POSSIBLE_SEMANTIC_BOUNDARY; note=Ambiguous fragment: ""Fig."" near drawing but context suggests"
arxiv_2402.18619_p26_327_253,B4 (evidence provided but Human still uncertain),fig=True; state=EXTENT_EXISTS; ctx=5; burden=0,MISSING_SEMANTIC_INFORMATION (caption vs in-text reference identity),E3 (semantic text understanding not in current system),E4 (Human already checked context; still uncertain; genuine semantic boundary),HIGH (Human checked context but still uncertain),YES (genuine G5; caption vs reference ambiguity),NOT_SUPPORTED,PATTERN: ambiguous_fragment → genuine G5 (caption vs reference),"doc=arxiv_2402.18619; case_type=ambiguous_fragment; sem_boundary=POSSIBLE_SEMANTIC_BOUNDARY; note=Ambiguous fragment: ""Fig."" near drawing but context suggests"
is11_resnet_p4_464_620,B4 (evidence provided but Human still uncertain),fig=True; state=EXTENT_EXISTS; ctx=5; burden=0,MISSING_SEMANTIC_INFORMATION (caption vs in-text reference identity),E3 (semantic text understanding not in current system),E4 (Human already checked context; still uncertain; genuine semantic boundary),HIGH (Human checked context but still uncertain),YES (genuine G5; caption vs reference ambiguity),NOT_SUPPORTED,PATTERN: ambiguous_fragment → genuine G5 (caption vs reference),"doc=is11_resnet; case_type=ambiguous_fragment; sem_boundary=POSSIBLE_SEMANTIC_BOUNDARY; note=Ambiguous fragment: ""Fig."" near drawing but context suggests"
is11_med_001_p18_325_655,B1 (evidence doesn't exist — drawing not observed),fig=True; state=NO_VISUAL_EVIDENCE; ctx=5; burden=2,MISSING_OBSERVATION (drawing extent not extracted),E3 (drawing observation missing from system),E3 (must add drawing observation to resolve),HIGH (Human cannot assess without drawing; currently must view original PDF),"NO (not G5; evidence is missing, not at semantic ceiling)","CONDITIONAL (if observation added, may resolve)",PATTERN: Type_A_negative + NO_VISUAL → needs drawing observation (E3),doc=is11_med_001; case_type=Type_A_negative; sem_boundary=EVIDENCE_INSUFFICIENT (not semantic boundary); note=Type A: FIG-prefix on page with no aggregated drawing extent
is11_efficientnet_p2_158_372,B1 (evidence doesn't exist — drawing not observed),fig=True; state=PRIMITIVES_NO_EXTENT; ctx=5; burden=2,MISSING_OBSERVATION (drawing extent not extracted),E3 (drawing observation missing from system),E3 (must add drawing observation to resolve),HIGH (Human cannot assess without drawing; currently must view original PDF),"NO (not G5; evidence is missing, not at semantic ceiling)","CONDITIONAL (if observation added, may resolve)",PATTERN: Type_A_negative + PRIMITIVES → needs drawing observation (E3),doc=is11_efficientnet; case_type=Type_A_negative; sem_boundary=EVIDENCE_INSUFFICIENT (not semantic boundary); note=Type A: FIG-prefix on page with no aggregated drawing extent
is11_med_001_p15_498_107,B2 (evidence exists but drawing not linked to text),fig=True; state=EXTENT_EXISTS; ctx=5; burden=0,MISSING_STRUCTURAL_CONTEXT (FIG-prefix text but no drawing extent linked),E2 (drawing exists on page but not linked to this text),E2 (reorganizing existing drawing-text linkage may resolve),MEDIUM (Human needs drawing-text linkage),PARTIAL (may resolve with linkage; may be G5 if linkage doesn't help),CONDITIONAL,PATTERN: Type_A_negative + EXTENT_EXISTS → needs drawing-text linkage (E2),doc=is11_med_001; case_type=Type_A_negative; sem_boundary=POSSIBLE_SEMANTIC_BOUNDARY; note=Type A: FIG-prefix on page with no aggregated drawing extent
is11_efficientnet_p6_79_415,B4 (evidence provided but Human still uncertain),fig=False; state=EXTENT_EXISTS; ctx=5; burden=0,MISSING_SEMANTIC_INFORMATION (text role: axis label vs annotation vs body text),E3 (semantic text understanding not in current system),E4 (even more structural evidence cannot resolve; semantic boundary),HIGH (Human must determine text's semantic role),YES (genuine G5; text semantic role unclear),NOT_SUPPORTED,PATTERN: Type_B_negative → genuine G5 (text semantic role unclear),"doc=is11_efficientnet; case_type=Type_B_negative; sem_boundary=POSSIBLE_SEMANTIC_BOUNDARY; note=Type B: short text ""omit"" near drawing — cannot determine if"
is11_resnet_p7_321_545,B1 (evidence doesn't exist — drawing not observed),fig=True; state=PRIMITIVES_NO_EXTENT; ctx=5; burden=2,MISSING_OBSERVATION (drawing extent not extracted),E3 (drawing observation missing from system),E3 (must add drawing observation to resolve),HIGH (Human cannot assess without drawing; currently must view original PDF),"NO (not G5; evidence is missing, not at semantic ceiling)","CONDITIONAL (if observation added, may resolve)",PATTERN: Type_A_negative + PRIMITIVES → needs drawing observation (E3),doc=is11_resnet; case_type=Type_A_negative; sem_boundary=EVIDENCE_INSUFFICIENT (not semantic boundary); note=Type A: FIG-prefix on page with no aggregated drawing extent
arxiv_2402.18619_p11_72_651,B1 (evidence doesn't exist — drawing not observed),fig=True; state=NO_VISUAL_EVIDENCE; ctx=5; burden=2,MISSING_OBSERVATION (drawing extent not extracted),E3 (drawing observation missing from system),E3 (must add drawing observation to resolve),HIGH (Human cannot assess without drawing; currently must view original PDF),"NO (not G5; evidence is missing, not at semantic ceiling)","CONDITIONAL (if observation added, may resolve)",PATTERN: Type_A_negative + NO_VISUAL → needs drawing observation (E3),doc=arxiv_2402.18619; case_type=Type_A_negative; sem_boundary=EVIDENCE_INSUFFICIENT (not semantic boundary); note=Type A: FIG-prefix on page with no aggregated drawing extent
is11_med_001_p15_244_342,B4 (evidence provided but Human still uncertain),fig=False; state=EXTENT_EXISTS; ctx=5; burden=0,MISSING_SEMANTIC_INFORMATION (text role: axis label vs annotation vs body text),E3 (semantic text understanding not in current system),E4 (even more structural evidence cannot resolve; semantic boundary),HIGH (Human must determine text's semantic role),YES (genuine G5; text semantic role unclear),NOT_SUPPORTED,PATTERN: Type_B_negative → genuine G5 (text semantic role unclear),"doc=is11_med_001; case_type=Type_B_negative; sem_boundary=POSSIBLE_SEMANTIC_BOUNDARY; note=Type B: short text ""max"" near drawing — cannot determine if "
is11_efficientnet_p8_467_415 (CE2_NO),"B4 (identical structural evidence, different judgment — semantic boundary)",fig=True; EXTENT_EXISTS; VR=below; XO=True; dist~25; ctx=5; burden=0,"MISSING_SEMANTIC_INFORMATION (text content determines caption vs reference, not structure)",E3 (semantic text understanding not in current system),E4 (ALL structural evidence identical; difference is semantic content),HIGH (Human must read and understand text content to determine role),YES (genuine G5; CE2 proves structural evidence cannot determine judgment),NOT_SUPPORTED (no structural evidence can resolve),PATTERN: CE2 confirms G5 — identical evidence → different judgment → semantic boundary,judgment=NO; case_type=ambiguous_fragment; ALL structural fields identical to paired case
is11_resnet_p6_478_168 (CE2_YES),"B4 (identical structural evidence, different judgment — semantic boundary)",fig=True; EXTENT_EXISTS; VR=below; XO=True; dist~25; ctx=5; burden=0,"MISSING_SEMANTIC_INFORMATION (text content determines caption vs reference, not structure)",E3 (semantic text understanding not in current system),E4 (ALL structural evidence identical; difference is semantic content),HIGH (Human must read and understand text content to determine role),YES (genuine G5; CE2 proves structural evidence cannot determine judgment),NOT_SUPPORTED (no structural evidence can resolve),PATTERN: CE2 confirms G5 — identical evidence → different judgment → semantic boundary,judgment=YES; case_type=ambiguous_fragment; ALL structural fields identical to paired case
