case_id,document_id,problem_type,why_G1_not_fit,why_G2_not_fit,why_G3_not_fit,why_G4_not_fit,why_G5_not_fit,candidate_explanation,is_true_new_gap,is_existing_gap_boundary_case,is_observation_gap,is_research_object_gap,evidence_for_classification
IS11-AMB-514,is11_cs_001,table_column_boundary,"Observation exists (P1 text, P2 geometry) — not an observation gap","PARTIALLY FITS — TLD failed to organize table structure, but P2 geometry IS organized (frozen)",Evidence was presented to system consumer (IS-11 got TLD output) — not a presentation gap,"PARTIALLY FITS — IS-11 consumer doesn't use P2 when TLD fails, but evidence IS consumed when TLD succeeds",Not a semantic boundary — structural decision (different columns) is deterministic,"BOUNDARY CASE: G2 (TLD organization failure) + G4 (consumer no fallback). PRIMARY=G2 because the earliest breakpoint is TLD not organizing table structure; SECONDARY=G4 because even without TLD, P2 geometry could support the decision but IS-11 doesn't query it.",NO,YES — G2/G4 boundary,NO — evidence exists,NO — research object (boundary decision) is well-defined,"TLD coverage 13/45 (29%); 32/45 TLD fail; P2 exists 45/45 (100%). DCE-06: two mechanisms (contamination + text-ratio). Boundary audit: 100% evidence exists, 64% not consumed."
IS11-AMB-052,is11_resnet,table_column_boundary,"Observation exists (P1 text, P2 geometry) — not an observation gap","PARTIALLY FITS — TLD failed to organize table structure, but P2 geometry IS organized (frozen)",Evidence was presented to system consumer (IS-11 got TLD output) — not a presentation gap,"PARTIALLY FITS — IS-11 consumer doesn't use P2 when TLD fails, but evidence IS consumed when TLD succeeds",Not a semantic boundary — structural decision (different columns) is deterministic,"BOUNDARY CASE: G2 (TLD organization failure) + G4 (consumer no fallback). PRIMARY=G2 because the earliest breakpoint is TLD not organizing table structure; SECONDARY=G4 because even without TLD, P2 geometry could support the decision but IS-11 doesn't query it.",NO,YES — G2/G4 boundary,NO — evidence exists,NO — research object (boundary decision) is well-defined,"TLD coverage 13/45 (29%); 32/45 TLD fail; P2 exists 45/45 (100%). DCE-06: two mechanisms (contamination + text-ratio). Boundary audit: 100% evidence exists, 64% not consumed."
IS11-AMB-163,is11_efficientnet,table_column_boundary,"Observation exists (P1 text, P2 geometry) — not an observation gap","PARTIALLY FITS — TLD failed to organize table structure, but P2 geometry IS organized (frozen)",Evidence was presented to system consumer (IS-11 got TLD output) — not a presentation gap,"PARTIALLY FITS — IS-11 consumer doesn't use P2 when TLD fails, but evidence IS consumed when TLD succeeds",Not a semantic boundary — structural decision (different columns) is deterministic,"BOUNDARY CASE: G2 (TLD organization failure) + G4 (consumer no fallback). PRIMARY=G2 because the earliest breakpoint is TLD not organizing table structure; SECONDARY=G4 because even without TLD, P2 geometry could support the decision but IS-11 doesn't query it.",NO,YES — G2/G4 boundary,NO — evidence exists,NO — research object (boundary decision) is well-defined,"TLD coverage 13/45 (29%); 32/45 TLD fail; P2 exists 45/45 (100%). DCE-06: two mechanisms (contamination + text-ratio). Boundary audit: 100% evidence exists, 64% not consumed."
IS11-AMB-267,is11_efficientnet,table_column_boundary,"Observation exists (P1 text, P2 geometry) — not an observation gap","PARTIALLY FITS — TLD failed to organize table structure, but P2 geometry IS organized (frozen)",Evidence was presented to system consumer (IS-11 got TLD output) — not a presentation gap,"PARTIALLY FITS — IS-11 consumer doesn't use P2 when TLD fails, but evidence IS consumed when TLD succeeds",Not a semantic boundary — structural decision (different columns) is deterministic,"BOUNDARY CASE: G2 (TLD organization failure) + G4 (consumer no fallback). PRIMARY=G2 because the earliest breakpoint is TLD not organizing table structure; SECONDARY=G4 because even without TLD, P2 geometry could support the decision but IS-11 doesn't query it.",NO,YES — G2/G4 boundary,NO — evidence exists,NO — research object (boundary decision) is well-defined,"TLD coverage 13/45 (29%); 32/45 TLD fail; P2 exists 45/45 (100%). DCE-06: two mechanisms (contamination + text-ratio). Boundary audit: 100% evidence exists, 64% not consumed."
IS11-AMB-318,is11_efficientnet,table_column_boundary,"Observation exists (P1 text, P2 geometry) — not an observation gap","PARTIALLY FITS — TLD failed to organize table structure, but P2 geometry IS organized (frozen)",Evidence was presented to system consumer (IS-11 got TLD output) — not a presentation gap,"PARTIALLY FITS — IS-11 consumer doesn't use P2 when TLD fails, but evidence IS consumed when TLD succeeds",Not a semantic boundary — structural decision (different columns) is deterministic,"BOUNDARY CASE: G2 (TLD organization failure) + G4 (consumer no fallback). PRIMARY=G2 because the earliest breakpoint is TLD not organizing table structure; SECONDARY=G4 because even without TLD, P2 geometry could support the decision but IS-11 doesn't query it.",NO,YES — G2/G4 boundary,NO — evidence exists,NO — research object (boundary decision) is well-defined,"TLD coverage 13/45 (29%); 32/45 TLD fail; P2 exists 45/45 (100%). DCE-06: two mechanisms (contamination + text-ratio). Boundary audit: 100% evidence exists, 64% not consumed."
IND-AMB-003,ind_arxiv_2402,reference_list_continuation,"Observation exists — P1 text, P2 geometry, P7 page_context all exist",Evidence IS organized — P1/P2/P7 all produce structured output,PARTIALLY FITS — page_context exists in P7 but not in Evidence Pack for IS-11 consumer,"Consumer (IS-11) does consume what it gets (IS-01/IS-02), but doesn't get page_context",PARTIALLY FITS — period+cap is ambiguous between sentence boundary and reference continuation; requires context to resolve,"BOUNDARY CASE: G3 (page_context not presented) + G5 (period+cap genuinely ambiguous without context). With page_context, G3 resolves most cases; without it, G5 emerges. PRIMARY=G3 because the earliest fixable breakpoint is presenting page_context; if that doesn't resolve, G5.",NO,YES — G3/G5 boundary,NO — page_context exists,NO — boundary decision is well-defined,HVA: A_INSUFFICIENT_B_SUFFICIENT for 3/5 FP cases (page_context resolves); A_INSUFFICIENT_B_PARTIAL for 2/5 (semantic boundary remains).
IND-AMB-002,ind_arxiv_2402,reference_list_continuation,"Observation exists — P1 text, P2 geometry, P7 page_context all exist",Evidence IS organized — P1/P2/P7 all produce structured output,PARTIALLY FITS — page_context exists in P7 but not in Evidence Pack for IS-11 consumer,"Consumer (IS-11) does consume what it gets (IS-01/IS-02), but doesn't get page_context",PARTIALLY FITS — period+cap is ambiguous between sentence boundary and reference continuation; requires context to resolve,"BOUNDARY CASE: G3 (page_context not presented) + G5 (period+cap genuinely ambiguous without context). With page_context, G3 resolves most cases; without it, G5 emerges. PRIMARY=G3 because the earliest fixable breakpoint is presenting page_context; if that doesn't resolve, G5.",NO,YES — G3/G5 boundary,NO — page_context exists,NO — boundary decision is well-defined,HVA: A_INSUFFICIENT_B_SUFFICIENT for 3/5 FP cases (page_context resolves); A_INSUFFICIENT_B_PARTIAL for 2/5 (semantic boundary remains).
IND-AMB-052,ind_arxiv_bio2,reference_list_author_title,"Observation exists — P1 text, P2 geometry, P7 page_context all exist",Evidence IS organized — P1/P2/P7 all produce structured output,PARTIALLY FITS — page_context exists in P7 but not in Evidence Pack for IS-11 consumer,"Consumer (IS-11) does consume what it gets (IS-01/IS-02), but doesn't get page_context",PARTIALLY FITS — period+cap is ambiguous between sentence boundary and reference continuation; requires context to resolve,"BOUNDARY CASE: G3 (page_context not presented) + G5 (period+cap genuinely ambiguous without context). With page_context, G3 resolves most cases; without it, G5 emerges. PRIMARY=G3 because the earliest fixable breakpoint is presenting page_context; if that doesn't resolve, G5.",NO,YES — G3/G5 boundary,NO — page_context exists,NO — boundary decision is well-defined,HVA: A_INSUFFICIENT_B_SUFFICIENT for 3/5 FP cases (page_context resolves); A_INSUFFICIENT_B_PARTIAL for 2/5 (semantic boundary remains).
MA-UNC-13,is11_efficientnet,text_drawing_association,"Observation exists — P1 text, P2 geometry, P7 page_context all exist",Evidence IS organized — P1/P2/P7 all produce structured output,PARTIALLY FITS — page_context exists in P7 but not in Evidence Pack for IS-11 consumer,"Consumer (IS-11) does consume what it gets (IS-01/IS-02), but doesn't get page_context",PARTIALLY FITS — period+cap is ambiguous between sentence boundary and reference continuation; requires context to resolve,"BOUNDARY CASE: G3 (page_context not presented) + G5 (period+cap genuinely ambiguous without context). With page_context, G3 resolves most cases; without it, G5 emerges. PRIMARY=G3 because the earliest fixable breakpoint is presenting page_context; if that doesn't resolve, G5.",NO,YES — G3/G5 boundary,NO — page_context exists,NO — boundary decision is well-defined,HVA: A_INSUFFICIENT_B_SUFFICIENT for 3/5 FP cases (page_context resolves); A_INSUFFICIENT_B_PARTIAL for 2/5 (semantic boundary remains).
IS11-AMB-375,is11_med_001,prose_sentence_boundary,Observation exists — P1 text with period+capital,Evidence IS organized — P1 produces text atoms,PARTIALLY FITS — period+cap derivable from P1 but not computed/presented by IS-11,"Consumer doesn't compute period+cap — but even if it did, human disagreement remains",PARTIALLY FITS — 'text unit' (sentence vs paragraph) is undefined; genuine standard/semantic gap causing human disagreement,"BOUNDARY CASE: G5 (text unit standard undefined) + G3 (period+cap not computed). Even with period+cap presented, the standard gap (sentence vs paragraph) causes human disagreement. PRIMARY=G5 because the root cause is the undefined standard, not the evidence.",NO,YES — G5/G3 boundary,NO — period+cap observable,PARTIAL — evaluation object mixes Family A (structural) and Family B (textual) under one label,4/4 disagreements all in prose sentence boundary; STANDARD_GAP; DCE-02 (period+cap) resolves all 4 with 0 FP on 45 cases but 5 FP on P7.
IS11-AMB-418,is11_med_001,prose_sentence_boundary,Observation exists — P1 text with period+capital,Evidence IS organized — P1 produces text atoms,PARTIALLY FITS — period+cap derivable from P1 but not computed/presented by IS-11,"Consumer doesn't compute period+cap — but even if it did, human disagreement remains",PARTIALLY FITS — 'text unit' (sentence vs paragraph) is undefined; genuine standard/semantic gap causing human disagreement,"BOUNDARY CASE: G5 (text unit standard undefined) + G3 (period+cap not computed). Even with period+cap presented, the standard gap (sentence vs paragraph) causes human disagreement. PRIMARY=G5 because the root cause is the undefined standard, not the evidence.",NO,YES — G5/G3 boundary,NO — period+cap observable,PARTIAL — evaluation object mixes Family A (structural) and Family B (textual) under one label,4/4 disagreements all in prose sentence boundary; STANDARD_GAP; DCE-02 (period+cap) resolves all 4 with 0 FP on 45 cases but 5 FP on P7.
IS11-AMB-519,is11_cs_001,prose_sentence_boundary,Observation exists — P1 text with period+capital,Evidence IS organized — P1 produces text atoms,PARTIALLY FITS — period+cap derivable from P1 but not computed/presented by IS-11,"Consumer doesn't compute period+cap — but even if it did, human disagreement remains",PARTIALLY FITS — 'text unit' (sentence vs paragraph) is undefined; genuine standard/semantic gap causing human disagreement,"BOUNDARY CASE: G5 (text unit standard undefined) + G3 (period+cap not computed). Even with period+cap presented, the standard gap (sentence vs paragraph) causes human disagreement. PRIMARY=G5 because the root cause is the undefined standard, not the evidence.",NO,YES — G5/G3 boundary,NO — period+cap observable,PARTIAL — evaluation object mixes Family A (structural) and Family B (textual) under one label,4/4 disagreements all in prose sentence boundary; STANDARD_GAP; DCE-02 (period+cap) resolves all 4 with 0 FP on 45 cases but 5 FP on P7.
IS11-AMB-005,is11_resnet,prose_sentence_boundary,Observation exists — P1 text with period+capital,Evidence IS organized — P1 produces text atoms,PARTIALLY FITS — period+cap derivable from P1 but not computed/presented by IS-11,"Consumer doesn't compute period+cap — but even if it did, human disagreement remains",PARTIALLY FITS — 'text unit' (sentence vs paragraph) is undefined; genuine standard/semantic gap causing human disagreement,"BOUNDARY CASE: G5 (text unit standard undefined) + G3 (period+cap not computed). Even with period+cap presented, the standard gap (sentence vs paragraph) causes human disagreement. PRIMARY=G5 because the root cause is the undefined standard, not the evidence.",NO,YES — G5/G3 boundary,NO — period+cap observable,PARTIAL — evaluation object mixes Family A (structural) and Family B (textual) under one label,4/4 disagreements all in prose sentence boundary; STANDARD_GAP; DCE-02 (period+cap) resolves all 4 with 0 FP on 45 cases but 5 FP on P7.
IND-AMB-033,ind_arxiv_bio2,reference_list_author_title,Observation exists — P1 text with period+capital,Evidence IS organized — P1 produces text atoms,PARTIALLY FITS — period+cap derivable from P1 but not computed/presented by IS-11,"Consumer doesn't compute period+cap — but even if it did, human disagreement remains",PARTIALLY FITS — 'text unit' (sentence vs paragraph) is undefined; genuine standard/semantic gap causing human disagreement,"BOUNDARY CASE: G5 (text unit standard undefined) + G3 (period+cap not computed). Even with period+cap presented, the standard gap (sentence vs paragraph) causes human disagreement. PRIMARY=G5 because the root cause is the undefined standard, not the evidence.",NO,YES — G5/G3 boundary,NO — period+cap observable,PARTIAL — evaluation object mixes Family A (structural) and Family B (textual) under one label,4/4 disagreements all in prose sentence boundary; STANDARD_GAP; DCE-02 (period+cap) resolves all 4 with 0 FP on 45 cases but 5 FP on P7.
IND-AMB-049,ind_arxiv_bio2,reference_list_author_title,Observation exists — P1 text with period+capital,Evidence IS organized — P1 produces text atoms,PARTIALLY FITS — period+cap derivable from P1 but not computed/presented by IS-11,"Consumer doesn't compute period+cap — but even if it did, human disagreement remains",PARTIALLY FITS — 'text unit' (sentence vs paragraph) is undefined; genuine standard/semantic gap causing human disagreement,"BOUNDARY CASE: G5 (text unit standard undefined) + G3 (period+cap not computed). Even with period+cap presented, the standard gap (sentence vs paragraph) causes human disagreement. PRIMARY=G5 because the root cause is the undefined standard, not the evidence.",NO,YES — G5/G3 boundary,NO — period+cap observable,PARTIAL — evaluation object mixes Family A (structural) and Family B (textual) under one label,4/4 disagreements all in prose sentence boundary; STANDARD_GAP; DCE-02 (period+cap) resolves all 4 with 0 FP on 45 cases but 5 FP on P7.
PH02-SPECIFICITY-VALUE-COL,is11_resnet,column_membership_specificity,"Observation exists — P1 text, P2 alignment groups",Evidence IS organized — left_alignment_group computed,Evidence IS presented — alignment group available to consumer,PARTIALLY FITS — consumer (PH02 guard) uses alignment group but fires incorrectly on value columns,PARTIALLY FITS — value column near-perfect equidistance is structurally indistinguishable from row-number column,BOUNDARY CASE: G5 (structural ambiguity — value column vs row-number column) + G4 (guard fires but doesn't change prediction). The ambiguity is genuine: two geometrically identical structures have different semantics. PRIMARY=G5 because no amount of current evidence can distinguish them without additional discriminative signal.,NO,YES — G5/G4 boundary (specificity risk),NO — all geometry exists,PARTIAL — PH02 research-object (whole-group-as-column) was INVALID,PH02: resnet p6 '21.59' ratio=1.04 near-perfect; cs_001 '37.0' ratio=1.49 fired-unchanged. Specificity risk empirically demonstrated.
PH02-SPECIFICITY-CS001,is11_cs_001,column_membership_specificity,"Observation exists — P1 text, P2 alignment groups",Evidence IS organized — left_alignment_group computed,Evidence IS presented — alignment group available to consumer,PARTIALLY FITS — consumer (PH02 guard) uses alignment group but fires incorrectly on value columns,PARTIALLY FITS — value column near-perfect equidistance is structurally indistinguishable from row-number column,BOUNDARY CASE: G5 (structural ambiguity — value column vs row-number column) + G4 (guard fires but doesn't change prediction). The ambiguity is genuine: two geometrically identical structures have different semantics. PRIMARY=G5 because no amount of current evidence can distinguish them without additional discriminative signal.,NO,YES — G5/G4 boundary (specificity risk),NO — all geometry exists,PARTIAL — PH02 research-object (whole-group-as-column) was INVALID,PH02: resnet p6 '21.59' ratio=1.04 near-perfect; cs_001 '37.0' ratio=1.49 fired-unchanged. Specificity risk empirically demonstrated.
