case_id,case_type,judgment,e0_extent,e1_extent,e0_spatial,e1_spatial,e0_ctx_count,e1_ctx_count,e0_evidence_state,e1_evidence_state,overall_change,burden_e0,burden_e1,burden_delta,semantic_boundary_status
arxiv_2402.18619_p16_172_568,caption_like,yes,set,set,30.2,30.2,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
arxiv_2402.18619_p15_74_275,caption_like,yes,set,set,44.4,44.4,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
arxiv_2402.18619_p10_72_729,Type_A_negative,yes,None,set,-1,156.5,0,5,"UNKNOWN (extent=None, no state)",EXTENT_EXISTS,EVIDENCE_ADDED,3,0,3,N/A (definitive judgment)
arxiv_2402.18619_p19_72_248,caption_like,yes,set,set,8.5,8.5,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_med_001_p14_85_386,caption_like,yes,set,set,15.3,15.3,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_resnet_p1_412_338,ambiguous_fragment,yes,set,set,35.4,35.4,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,EVIDENCE_CORRECTED,0,0,0,N/A (definitive judgment)
is11_med_001_p15_244_342,Type_B_negative,uncertain,set,set,33.1,33.1,0,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,EVIDENCE_ADDED,1,0,1,POSSIBLE_SEMANTIC_BOUNDARY
arxiv_2402.18619_p19_83_745,ambiguous_fragment,yes,set,set,45.1,45.1,3,3,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_med_001_p24_85_572,caption_like,yes,set,set,54.8,54.8,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_cs_001_p1_108_651,caption_like,yes,set,set,0,0,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_med_001_p15_261_316,ambiguous_fragment,yes,set,set,55.0,55.0,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
