case_id,document_id,document_type,page,problem_type,failure_source,existing_evidence_available,human_judgment_available,original_failure_description
P3-CV-FAIL,PH3-EARTH-002,academic_paper_earth_science,27,tick_run_definition_boundary,coverage limitation (variable-width CV>0.15),YES (center-CV measurement on axis labels),"NO (definitional, no GT)",coverage limitation (variable-width CV>0.15)
P3-RASTER-1,PH3-ASTRO-001,academic_paper_astrophysics,raster_pages,raster_figure_text_invisible,coverage limitation (raster figures),PARTIAL (image blocks detected but text embedded in raster),NO,coverage limitation (raster figures)
P3-RASTER-2,PH3-EARTH-001,academic_paper_astrophysics,raster_pages,raster_figure_text_invisible,coverage limitation (raster figures),PARTIAL (image blocks detected but text embedded in raster),NO,coverage limitation (raster figures)
P3-CAPTION-REPR,all_5_docs,academic_paper_mixed,96_caption_pages,caption_representation_mismatch,coverage limitation (93.7% absorbed by P4 merge),"YES (full scan, page-cache deterministic)",NO,coverage limitation (93.7% absorbed by P4 merge)
P3-TICK-REPR,PH3-EARTH-002,academic_paper_earth_science,14_pages,tick_representation_mismatch,coverage limitation (6.8% pass CV threshold),YES (full-scan tick-pair gap distribution),NO,coverage limitation (6.8% pass CV threshold)
P3-GC1-FAIL,all_5_docs,academic_paper_mixed,corpus,corpus_sufficiency_fail,pre-condition FAIL (3 figure-context < 15 required),"YES (sampling_manifest, gc1_count)",NO (Human Review NOT REACHED),pre-condition FAIL (3 figure-context < 15 required)
P3-CONCENTRATION,PH3-EARTH-002,academic_paper_earth_science,p50_p36_p82,single_document_dominance,coverage limitation (96.2% from GraphCast),YES (universe scan by document/page),NO,coverage limitation (96.2% from GraphCast)
IND-AMB-003,ind_arxiv_2402,academic_paper_cs,30,reference_list_continuation,"signal_fp (period+cap→KS, GT=MERGE)",PARTIAL (period+cap; page_context exists in P7 but not in Evidence Pack),YES (GT=MERGE),"signal_fp (period+cap→KS, GT=MERGE)"
IND-AMB-002,ind_arxiv_2402,academic_paper_cs,30,reference_list_continuation,"signal_fp (period+cap→KS, GT=MERGE)",PARTIAL (period+cap; page_context exists in P7 but not in Evidence Pack),YES (GT=MERGE),"signal_fp (period+cap→KS, GT=MERGE)"
IND-AMB-052,ind_arxiv_bio2,academic_paper_biology,10,reference_list_author_title,"signal_fp (period+cap→KS, GT=MERGE)",PARTIAL (period+cap; page_context shows reference list; author pattern),YES (GT=MERGE),"signal_fp (period+cap→KS, GT=MERGE)"
IND-AMB-033,ind_arxiv_bio2,academic_paper_biology,9,reference_list_author_title,"signal_fp (period+cap→KS, GT=MERGE) + semantic_boundary",PARTIAL (period+cap; page_context; BUT 'Le.' surname requires semantic knowledge),YES (GT=MERGE),"signal_fp (period+cap→KS, GT=MERGE) + semantic_boundary"
IND-AMB-049,ind_arxiv_bio2,academic_paper_biology,10,reference_list_author_title,"signal_fp (period+cap→KS, GT=MERGE) + mild_semantic_boundary",PARTIAL (period+cap; page_context; 'Levine' more recognizable but still semantic),YES (GT=MERGE),"signal_fp (period+cap→KS, GT=MERGE) + mild_semantic_boundary"
IND-AMB-247,ind_qbio_rna,academic_paper_biology,,table_cell_fp,IS-01 false-trigger (numeric cell value → MERGE → FP),YES (P1 text; P2 geometry),YES (GT=KEEP_SEPARATE),IS-01 false-trigger (numeric cell value → MERGE → FP)
IND-AMB-223,ind_qbio_rna,academic_paper_biology,,table_cell_fp,IS-01 false-trigger (numbered list → MERGE → FP),YES (P1 text; P2 geometry),YES (GT=KEEP_SEPARATE),IS-01 false-trigger (numbered list → MERGE → FP)
IND-AMB-235,ind_qbio_rna,academic_paper_biology,,table_cell_fp,IS-01 false-trigger (numbered list → MERGE → FP),YES (P1 text; P2 geometry),YES (GT=KEEP_SEPARATE),IS-01 false-trigger (numbered list → MERGE → FP)
IND-AMB-201,ind_arxiv_2402,academic_paper_cs,,body_text_citation_fn,IS-01/IS-02 both False → default KEEP → FN (GT=MERGE),YES (P1 text),YES (GT=MERGE),IS-01/IS-02 both False → default KEEP → FN (GT=MERGE)
IND-AMB-200,ind_arxiv_2402,academic_paper_cs,,reference_list_citation_fn,IS-01/IS-02 both False → default KEEP → FN (GT=MERGE),YES (P1 text),YES (GT=MERGE),IS-01/IS-02 both False → default KEEP → FN (GT=MERGE)
MA-UNC-1,is11_efficientnet,academic_paper_cs,3,text_drawing_association,"uncertain (no extent on page, cross-page ref)",PARTIAL (P1 text: FIG prefix; DGF=4 page separators; DEF=0),YES (Human=UNCERTAIN),"uncertain (no extent on page, cross-page ref)"
MA-UNC-2,arxiv_2402.18619,academic_paper_cs,15,text_drawing_association,"uncertain (non-FIG text near drawing, role ambiguous)","YES (extent exists; P1 text: ', with')",YES (Human=UNCERTAIN),"uncertain (non-FIG text near drawing, role ambiguous)"
MA-UNC-3,is11_med_001,academic_paper_chemistry,18,text_drawing_association,"uncertain (no drawing on page, cross-page ref)","NO (DGF=0, DEF=0, pure text page)",YES (Human=UNCERTAIN),"uncertain (no drawing on page, cross-page ref)"
MA-UNC-4,is11_efficientnet,academic_paper_cs,2,text_drawing_association,"uncertain (233 primitives, no extent formed)",PARTIAL (DGF=233; DEF=0; aggregation gap),YES (Human=UNCERTAIN),"uncertain (233 primitives, no extent formed)"
MA-UNC-5,arxiv_2402.18619,academic_paper_cs,19,text_drawing_association,"uncertain (Fig. fragment, caption vs reference)",YES (extent exists; P1 text: 'Fig.'; context: 'in Fig. 9'),YES (Human=UNCERTAIN),"uncertain (Fig. fragment, caption vs reference)"
MA-UNC-6,arxiv_2402.18619,academic_paper_cs,26,text_drawing_association,"uncertain (Fig. fragment, caption vs reference)",YES (extent exists; P1 text: 'Fig.'; context: 'cf. Fig. 3b'),YES (Human=UNCERTAIN),"uncertain (Fig. fragment, caption vs reference)"
MA-UNC-7,is11_resnet,academic_paper_cs,4,text_drawing_association,"uncertain (Fig. fragment, caption vs reference)",YES (extent exists; P1 text: 'Fig.'; context: 'in Fig. 3'),YES (Human=UNCERTAIN),"uncertain (Fig. fragment, caption vs reference)"
MA-UNC-8,is11_med_001,academic_paper_chemistry,15,text_drawing_association,"uncertain (no extent, cross-page ref)",PARTIAL (DGF=12338; DEF=1; extent exists but not shown to Human in E0),YES (Human=UNCERTAIN),"uncertain (no extent, cross-page ref)"
MA-UNC-9,arxiv_2402.18619,academic_paper_cs,11,text_drawing_association,"uncertain (no drawing on page, cross-page ref)","NO (DGF=0, DEF=0, pure text page)",YES (Human=UNCERTAIN),"uncertain (no drawing on page, cross-page ref)"
MA-UNC-10,is11_efficientnet,academic_paper_cs,6,text_drawing_association,"uncertain (short text 'omit', no context shown)",YES (extent exists; P2 same_y reconstructs 'We omit ensemble...'),YES (Human=UNCERTAIN),"uncertain (short text 'omit', no context shown)"
MA-UNC-11,arxiv_2402.18619,academic_paper_cs,18,text_drawing_association,"uncertain (non-FIG text 'scaling', role ambiguous)",YES (extent exists; P1 text: 'scaling'),YES (Human=UNCERTAIN),"uncertain (non-FIG text 'scaling', role ambiguous)"
MA-UNC-12,is11_resnet,academic_paper_cs,7,text_drawing_association,"uncertain (no extent, table borders only)",PARTIAL (DGF=53 table borders; DEF=0; correctly excluded),YES (Human=UNCERTAIN),"uncertain (no extent, table borders only)"
MA-UNC-13,is11_efficientnet,academic_paper_cs,4,text_drawing_association,uncertain (extent exists but not shown in E0),"YES (DGF=141, DEF=2; extent exists but E0 Pack showed None)",YES (Human=UNCERTAIN),uncertain (extent exists but not shown in E0)
MA-UNC-14,is11_med_001,academic_paper_chemistry,15,text_drawing_association,"uncertain (short text 'max', no context shown)","YES (extent exists; P2 same_y reconstructs 'CM(ϵ, max, ...)')",YES (Human=UNCERTAIN),"uncertain (short text 'max', no context shown)"
PH02-RESEARCH-OBJECT-MISMATCH,is11_efficientnet,academic_paper_cs,5,column_membership_adjudication,hypothesis_rejected (whole-group-as-column INVALID),"YES (frozen left_alignment_group=10, but 10th member is prose token)",YES (GT=KEEP_SEPARATE),hypothesis_rejected (whole-group-as-column INVALID)
PH02-SPECIFICITY-VALUE-COL,is11_resnet,academic_paper_cs,6,column_membership_specificity,fired-unchanged (value column indistinguishable from row-number column),"YES (7-member value column, ratio=1.04, near-perfect equidistance)",YES (GT=KEEP_SEPARATE),fired-unchanged (value column indistinguishable from row-number column)
PH02-SPECIFICITY-CS001,is11_cs_001,academic_paper_nlp,3,column_membership_specificity,"fired-unchanged (value column, not row-number)","YES (7-member value column, ratio=1.49)",YES (GT=KEEP_SEPARATE),"fired-unchanged (value column, not row-number)"
