case_id,document_id,case_type,boundary_type,state,false_g5_type,expansion_level,human_judgment,human_contribution_type,boundary_signal,drawing_extent_present,evidence_sufficiency,semantic_boundary_assessment,learning_value,machine_verifiable,cross_case_recurrence,cross_document_recurrence,boundary_expansion,review_reduction_level,reusable_pattern,evidence_source,missing_evidence,notes
is11_efficientnet_p4_66_331,is11_efficientnet,Type_A_negative,B2 (evidence exists but drawing not linked to text),FALSE_G5,G2_EVIDENCE_ORGANIZATION,E2,UNCERTAIN,EVIDENCE_GAP_IDENTIFIED (not semantic judgment),DRAWING_EXTENT_MISSING → FALSE_G5 (G1/G2),False,INSUFFICIENT,NO (no drawing extent — cannot assess),L2-L3 (can help Machine identify evidence_not_organized → route to Reorganization),YES (drawing_extent is structural),YES (pattern=P6_DRAWING_EXTENT_MISSING (G1)),CONDITIONAL,CONDITIONAL (reorganizing evidence may partially resolve),"L1 (evidence found, insufficient for full automatic resolution)",P6_DRAWING_EXTENT_MISSING (G1),E2 (drawing exists on page but not linked to this text),MISSING_STRUCTURAL_CONTEXT (FIG-prefix text but no drawing e,doc=is11_efficientnet; case_type=Type_A_negative; sem_bounda
arxiv_2402.18619_p19_147_496,arxiv_2402.18619,ambiguous_fragment,B4 (evidence provided but Human still uncertain),TRUE_G5,NONE,E4,UNCERTAIN,E_IRREDUCIBLE_SEMANTIC_JUDGMENT,STRUCTURAL_COMPLETE_SEMANTIC_AMBIGUOUS → TRUE_G5,True,PARTIALLY_SUFFICIENT,"YES (standalone ""Fig."" fragment — contex",L2 (Boundary Signal: structurally complete → semantic boundary → escalate to Human),NO (semantic judgment required),YES (pattern=P1_CAPTION_VS_REFERENCE),YES,"NOT_SUPPORTED (genuine semantic boundary, no evidence expansion)",L0 (Human judgment irreducible),P1_CAPTION_VS_REFERENCE,E3 (semantic text understanding not in current system),MISSING_SEMANTIC_INFORMATION (caption vs in-text reference i,doc=arxiv_2402.18619; case_type=ambiguous_fragment; sem_boun
arxiv_2402.18619_p26_327_253,arxiv_2402.18619,ambiguous_fragment,B4 (evidence provided but Human still uncertain),TRUE_G5,NONE,E4,UNCERTAIN,E_IRREDUCIBLE_SEMANTIC_JUDGMENT,STRUCTURAL_COMPLETE_SEMANTIC_AMBIGUOUS → TRUE_G5,True,PARTIALLY_SUFFICIENT,"YES (standalone ""Fig."" fragment — contex",L2 (Boundary Signal: structurally complete → semantic boundary → escalate to Human),NO (semantic judgment required),YES (pattern=P1_CAPTION_VS_REFERENCE),YES,"NOT_SUPPORTED (genuine semantic boundary, no evidence expansion)",L0 (Human judgment irreducible),P1_CAPTION_VS_REFERENCE,E3 (semantic text understanding not in current system),MISSING_SEMANTIC_INFORMATION (caption vs in-text reference i,doc=arxiv_2402.18619; case_type=ambiguous_fragment; sem_boun
is11_resnet_p4_464_620,is11_resnet,ambiguous_fragment,B4 (evidence provided but Human still uncertain),TRUE_G5,NONE,E4,UNCERTAIN,E_IRREDUCIBLE_SEMANTIC_JUDGMENT,STRUCTURAL_COMPLETE_SEMANTIC_AMBIGUOUS → TRUE_G5,True,PARTIALLY_SUFFICIENT,"YES (standalone ""Fig."" fragment — contex",L2 (Boundary Signal: structurally complete → semantic boundary → escalate to Human),NO (semantic judgment required),YES (pattern=P1_CAPTION_VS_REFERENCE),YES,"NOT_SUPPORTED (genuine semantic boundary, no evidence expansion)",L0 (Human judgment irreducible),P1_CAPTION_VS_REFERENCE,E3 (semantic text understanding not in current system),MISSING_SEMANTIC_INFORMATION (caption vs in-text reference i,doc=is11_resnet; case_type=ambiguous_fragment; sem_boundary=
is11_med_001_p18_325_655,is11_med_001,Type_A_negative,B1 (evidence doesn't exist — drawing not observed),FALSE_G5,G1_OBSERVATION_COVERAGE,E3,UNCERTAIN,EVIDENCE_GAP_IDENTIFIED (not semantic judgment),DRAWING_EXTENT_MISSING → FALSE_G5 (G1/G2),False,INSUFFICIENT,NO (no drawing extent — cannot assess),L3 (can help Machine identify drawing_extent_missing → route to Evidence Recovery),YES (drawing_extent is structural),YES (pattern=P6_DRAWING_EXTENT_MISSING (G1)),CONDITIONAL,SUPPORTED (adding drawing observation resolves the case),"L2 (potential: if G1 fixed, case becomes machine-resolvable)",P6_DRAWING_EXTENT_MISSING (G1),E3 (drawing observation missing from system),MISSING_OBSERVATION (drawing extent not extracted),doc=is11_med_001; case_type=Type_A_negative; sem_boundary=EV
is11_efficientnet_p2_158_372,is11_efficientnet,Type_A_negative,B1 (evidence doesn't exist — drawing not observed),FALSE_G5,G1_OBSERVATION_COVERAGE,E3,UNCERTAIN,EVIDENCE_GAP_IDENTIFIED (not semantic judgment),DRAWING_EXTENT_MISSING → FALSE_G5 (G1/G2),False,INSUFFICIENT,NO (no drawing extent — cannot assess),L3 (can help Machine identify drawing_extent_missing → route to Evidence Recovery),YES (drawing_extent is structural),YES (pattern=P6_DRAWING_EXTENT_MISSING (G1)),CONDITIONAL,SUPPORTED (adding drawing observation resolves the case),"L2 (potential: if G1 fixed, case becomes machine-resolvable)",P6_DRAWING_EXTENT_MISSING (G1),E3 (drawing observation missing from system),MISSING_OBSERVATION (drawing extent not extracted),doc=is11_efficientnet; case_type=Type_A_negative; sem_bounda
is11_med_001_p15_498_107,is11_med_001,Type_A_negative,B2 (evidence exists but drawing not linked to text),FALSE_G5,G2_EVIDENCE_ORGANIZATION,E2,UNCERTAIN,EVIDENCE_GAP_IDENTIFIED (not semantic judgment),DRAWING_EXTENT_MISSING → FALSE_G5 (G1/G2),False,INSUFFICIENT,NO (no drawing extent — cannot assess),L2-L3 (can help Machine identify evidence_not_organized → route to Reorganization),YES (drawing_extent is structural),YES (pattern=P6_DRAWING_EXTENT_MISSING (G1)),CONDITIONAL,CONDITIONAL (reorganizing evidence may partially resolve),"L1 (evidence found, insufficient for full automatic resolution)",P6_DRAWING_EXTENT_MISSING (G1),E2 (drawing exists on page but not linked to this text),MISSING_STRUCTURAL_CONTEXT (FIG-prefix text but no drawing e,doc=is11_med_001; case_type=Type_A_negative; sem_boundary=PO
is11_efficientnet_p6_79_415,is11_efficientnet,Type_B_negative,B4 (evidence provided but Human still uncertain),TRUE_G5,NONE,E4,UNCERTAIN,E_IRREDUCIBLE_SEMANTIC_JUDGMENT,STRUCTURAL_COMPLETE_SEMANTIC_AMBIGUOUS → TRUE_G5,True,INSUFFICIENT,NO (text fragment too short to determine,L2 (Boundary Signal: structurally complete → semantic boundary → escalate to Human),NO (semantic judgment required),YES (pattern=P2_TEXT_ROLE_AMBIGUITY),YES,"NOT_SUPPORTED (genuine semantic boundary, no evidence expansion)",L0 (Human judgment irreducible),P2_TEXT_ROLE_AMBIGUITY,E3 (semantic text understanding not in current system),MISSING_SEMANTIC_INFORMATION (text role: axis label vs annot,doc=is11_efficientnet; case_type=Type_B_negative; sem_bounda
is11_resnet_p7_321_545,is11_resnet,Type_A_negative,B1 (evidence doesn't exist — drawing not observed),FALSE_G5,G1_OBSERVATION_COVERAGE,E3,UNCERTAIN,EVIDENCE_GAP_IDENTIFIED (not semantic judgment),DRAWING_EXTENT_MISSING → FALSE_G5 (G1/G2),False,INSUFFICIENT,NO (no drawing extent — cannot assess),L3 (can help Machine identify drawing_extent_missing → route to Evidence Recovery),YES (drawing_extent is structural),YES (pattern=P6_DRAWING_EXTENT_MISSING (G1)),CONDITIONAL,SUPPORTED (adding drawing observation resolves the case),"L2 (potential: if G1 fixed, case becomes machine-resolvable)",P6_DRAWING_EXTENT_MISSING (G1),E3 (drawing observation missing from system),MISSING_OBSERVATION (drawing extent not extracted),doc=is11_resnet; case_type=Type_A_negative; sem_boundary=EVI
arxiv_2402.18619_p11_72_651,arxiv_2402.18619,Type_A_negative,B1 (evidence doesn't exist — drawing not observed),FALSE_G5,G1_OBSERVATION_COVERAGE,E3,UNCERTAIN,EVIDENCE_GAP_IDENTIFIED (not semantic judgment),DRAWING_EXTENT_MISSING → FALSE_G5 (G1/G2),False,INSUFFICIENT,NO (no drawing extent — cannot assess),L3 (can help Machine identify drawing_extent_missing → route to Evidence Recovery),YES (drawing_extent is structural),YES (pattern=P6_DRAWING_EXTENT_MISSING (G1)),CONDITIONAL,SUPPORTED (adding drawing observation resolves the case),"L2 (potential: if G1 fixed, case becomes machine-resolvable)",P6_DRAWING_EXTENT_MISSING (G1),E3 (drawing observation missing from system),MISSING_OBSERVATION (drawing extent not extracted),doc=arxiv_2402.18619; case_type=Type_A_negative; sem_boundar
is11_med_001_p15_244_342,is11_med_001,Type_B_negative,B4 (evidence provided but Human still uncertain),TRUE_G5,NONE,E4,UNCERTAIN,E_IRREDUCIBLE_SEMANTIC_JUDGMENT,STRUCTURAL_COMPLETE_SEMANTIC_AMBIGUOUS → TRUE_G5,True,INSUFFICIENT,NO (text fragment too short to determine,L2 (Boundary Signal: structurally complete → semantic boundary → escalate to Human),NO (semantic judgment required),YES (pattern=P2_TEXT_ROLE_AMBIGUITY),YES,"NOT_SUPPORTED (genuine semantic boundary, no evidence expansion)",L0 (Human judgment irreducible),P2_TEXT_ROLE_AMBIGUITY,E3 (semantic text understanding not in current system),MISSING_SEMANTIC_INFORMATION (text role: axis label vs annot,doc=is11_med_001; case_type=Type_B_negative; sem_boundary=PO
is11_efficientnet_p8_467_415 (CE2_NO),is11_efficientnet,ambiguous_fragment,"B4 (identical structural evidence, different judgment — semantic boundary)",TRUE_G5,NONE,E4,NO,E_IRREDUCIBLE_SEMANTIC_JUDGMENT,STRUCTURAL_COMPLETE_SEMANTIC_AMBIGUOUS → TRUE_G5,True,SUFFICIENT (Human made definitive judgme,N/A (not UNCERTAIN),L2 (Boundary Signal: structurally complete → still G5 → escalate; Answer NOT learnable),NO (semantic judgment required),YES (pattern=P1_CAPTION_VS_REFERENCE),YES,"NOT_SUPPORTED (genuine semantic boundary, no evidence expansion)",L0 (Human judgment irreducible),P1_CAPTION_VS_REFERENCE,E3 (semantic text understanding not in current system),MISSING_SEMANTIC_INFORMATION (text content determines captio,judgment=NO; case_type=ambiguous_fragment; ALL structural fi
is11_resnet_p6_478_168 (CE2_YES),is11_resnet,ambiguous_fragment,"B4 (identical structural evidence, different judgment — semantic boundary)",TRUE_G5,NONE,E4,YES,E_IRREDUCIBLE_SEMANTIC_JUDGMENT,STRUCTURAL_COMPLETE_SEMANTIC_AMBIGUOUS → TRUE_G5,True,SUFFICIENT (Human made definitive judgme,N/A (not UNCERTAIN),L2 (Boundary Signal: structurally complete → still G5 → escalate; Answer NOT learnable),NO (semantic judgment required),YES (pattern=P1_CAPTION_VS_REFERENCE),YES,"NOT_SUPPORTED (genuine semantic boundary, no evidence expansion)",L0 (Human judgment irreducible),P1_CAPTION_VS_REFERENCE,E3 (semantic text understanding not in current system),MISSING_SEMANTIC_INFORMATION (text content determines captio,judgment=YES; case_type=ambiguous_fragment; ALL structural f
