case_id,document_id,document_type,problem_type,G1,G2,G3,G4,G5,PRIMARY_GAP,SECONDARY_GAP,EVIDENCE_SUFFICIENCY,BOUNDARY_STATUS,CLASSIFICATION_BASIS
DG2-MIS-003,MIS_TEXTBOOK,educational_presentation,figure_raster_caption_only,YES,NO,NO,NO,NO,G1,,INSUFFICIENT,NOT_BOUNDARY,Figure/chart is raster image; text labels/captions extracted but visual content not observable
DG2-MIS-004,MIS_TEXTBOOK,educational_presentation,figure_raster_caption_only,YES,NO,NO,NO,NO,G1,,INSUFFICIENT,NOT_BOUNDARY,Figure/chart is raster image; text labels/captions extracted but visual content not observable
DG2-MIS-005,MIS_TEXTBOOK,educational_presentation,figure_raster_caption_only,YES,NO,NO,NO,NO,G1,,INSUFFICIENT,NOT_BOUNDARY,Figure/chart is raster image; text labels/captions extracted but visual content not observable
DG2-MIS-006,MIS_TEXTBOOK,educational_presentation,slide_page_number_as_content,NO,NO,YES,NO,NO,G3,,INSUFFICIENT,NOT_BOUNDARY,Evidence is in source but not correctly presented in extraction; order/hierarchy/boundary lost
DG2-MIS-007,MIS_TEXTBOOK,educational_presentation,bullet_hierarchy_lost,NO,NO,YES,NO,NO,G3,,INSUFFICIENT,NOT_BOUNDARY,Evidence is in source but not correctly presented in extraction; order/hierarchy/boundary lost
DG2-AUD-001,AUDIT_TEXTBOOK,educational_textbook,contents_section_separate_blocks,NO,NO,YES,NO,NO,G3,,INSUFFICIENT,NOT_BOUNDARY,Evidence is in source but not correctly presented in extraction; order/hierarchy/boundary lost
DG2-AUD-002,AUDIT_TEXTBOOK,educational_textbook,case_study_context_lost,NO,NO,YES,NO,NO,G3,,INSUFFICIENT,NOT_BOUNDARY,Evidence is in source but not correctly presented in extraction; order/hierarchy/boundary lost
DG2-AUD-003,AUDIT_TEXTBOOK,educational_textbook,bullet_hierarchy_lost,NO,NO,YES,NO,NO,G3,,INSUFFICIENT,NOT_BOUNDARY,Evidence is in source but not correctly presented in extraction; order/hierarchy/boundary lost
DG2-AUD-004,AUDIT_TEXTBOOK,educational_textbook,slide_page_number_as_content,NO,NO,YES,NO,NO,G3,,INSUFFICIENT,NOT_BOUNDARY,Evidence is in source but not correctly presented in extraction; order/hierarchy/boundary lost
DG2-AUD-005,AUDIT_TEXTBOOK,educational_textbook,definition_term_value_separation,NO,YES,NO,NO,NO,G2,,INSUFFICIENT,NOT_BOUNDARY,Evidence (text values) exists but table/structure not organized into usable form; column-row correspondence lost
DG2-CH3-001,AUDIT_CH3,educational_textbook,toc_section_number_separation,NO,YES,NO,NO,NO,G2,,INSUFFICIENT,NOT_BOUNDARY,Evidence (text values) exists but table/structure not organized into usable form; column-row correspondence lost
DG2-CH3-002,AUDIT_CH3,educational_textbook,slide_footer_marker_mixing,NO,NO,YES,NO,NO,G3,,INSUFFICIENT,NOT_BOUNDARY,Evidence is in source but not correctly presented in extraction; order/hierarchy/boundary lost
DG2-CH3-003,AUDIT_CH3,educational_textbook,bullet_marker_hierarchy_lost,NO,YES,NO,NO,NO,G2,,INSUFFICIENT,NOT_BOUNDARY,Default G2 classification
DG2-CH3-004,AUDIT_CH3,educational_textbook,slide_page_number_as_content,NO,NO,YES,NO,NO,G3,,INSUFFICIENT,NOT_BOUNDARY,Evidence is in source but not correctly presented in extraction; order/hierarchy/boundary lost
DG2-CH3-005,AUDIT_CH3,educational_textbook,supplementary_content_boundary_lost,NO,NO,YES,NO,NO,G3,,INSUFFICIENT,NOT_BOUNDARY,Evidence is in source but not correctly presented in extraction; order/hierarchy/boundary lost
