case_id,task,machine_evidence_status,human_judgment,human_added_information,added_information_type,evidence_already_exists,evidence_exposed,human_document_access_required,human_explanation_required,evidence_anchor_possible,provenance_possible,case_specific_only,reusable_signal_candidate,semantic_boundary_status,burden_level,notes
arxiv_2402.18619_p10_132_629,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed using existing spatial evidence + context,EXISTING_EVIDENCE,YES,YES,MAYBE,NO,YES,YES,NO,YES,NOT_BOUNDARY,LOW,case_type=ambiguous_fragment; e1_state=EXTENT_EXISTS; judgment=yes
is11_resnet_p1_309_305,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
arxiv_2402.18619_p19_147_496,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,UNCERTAIN,Human uncertain even with complete evidence — semantic interpretation needed,SEMANTIC_INTERPRETATION,YES,YES,YES,YES,YES,YES,YES,NO,G5_POSSIBLE_BOUNDARY,HIGH,case_type=ambiguous_fragment; e1_state=EXTENT_EXISTS; judgment=uncertain
arxiv_2402.18619_p28_256_214,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed using existing spatial evidence + context,EXISTING_EVIDENCE,YES,YES,MAYBE,NO,YES,YES,NO,YES,NOT_BOUNDARY,LOW,case_type=ambiguous_fragment; e1_state=EXTENT_EXISTS; judgment=yes
arxiv_2402.18619_p12_180_706,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
arxiv_2402.18619_p26_327_253,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,UNCERTAIN,Human uncertain even with complete evidence — semantic interpretation needed,SEMANTIC_INTERPRETATION,YES,YES,YES,YES,YES,YES,YES,NO,G5_POSSIBLE_BOUNDARY,HIGH,case_type=ambiguous_fragment; e1_state=EXTENT_EXISTS; judgment=uncertain
arxiv_2402.18619_p19_339_297,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,NO (not associated),Used existing evidence,EXISTING_EVIDENCE,YES,YES,NO,NO,YES,YES,NO,YES,NOT_BOUNDARY,LOW,case_type=ambiguous_fragment; e1_state=EXTENT_EXISTS; judgment=no
is11_efficientnet_p8_467_415,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,NO (not associated),Used existing evidence,EXISTING_EVIDENCE,YES,YES,NO,NO,YES,YES,NO,YES,NOT_BOUNDARY,LOW,case_type=ambiguous_fragment; e1_state=EXTENT_EXISTS; judgment=no
is11_efficientnet_p4_307_448,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
arxiv_2402.18619_p18_432_93,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed using existing spatial evidence + context,EXISTING_EVIDENCE,YES,YES,MAYBE,NO,YES,YES,NO,YES,NOT_BOUNDARY,LOW,case_type=ambiguous_fragment; e1_state=EXTENT_EXISTS; judgment=yes
is11_cs_001_p4_108_225,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_resnet_p6_309_157,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_resnet_p5_50_392,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
arxiv_2402.18619_p28_207_82,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Text is a subfigure label,NEW_OBSERVATION,PARTIAL,PARTIAL,YES,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,MEDIUM,case_type=subfigure_label; e1_state=EXTENT_EXISTS; judgment=yes
arxiv_2402.18619_p10_72_581,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_resnet_p4_309_134,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed reference-like text is still associated,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=reference_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_efficientnet_p7_55_455,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_cs_001_p5_108_225,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
arxiv_2402.18619_p28_458_160,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Text is a subfigure label,NEW_OBSERVATION,PARTIAL,PARTIAL,YES,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,MEDIUM,case_type=subfigure_label; e1_state=EXTENT_EXISTS; judgment=yes
is11_resnet_p4_464_620,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,UNCERTAIN,Human uncertain even with complete evidence — semantic interpretation needed,SEMANTIC_INTERPRETATION,YES,YES,YES,YES,YES,YES,YES,NO,G5_POSSIBLE_BOUNDARY,HIGH,case_type=ambiguous_fragment; e1_state=EXTENT_EXISTS; judgment=uncertain
is11_med_001_p9_85_321,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_med_001_p19_85_454,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_med_001_p20_85_340,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_med_001_p18_325_655,Text-Drawing Association (T1),INSUFFICIENT (G1: DGF=0),UNCERTAIN,Human uncertain even with complete evidence — semantic interpretation needed,SEMANTIC_INTERPRETATION,YES,YES,YES,YES,PARTIAL,PARTIAL,YES,NO,G5_CANDIDATE,HIGH,case_type=Type_A_negative; e1_state=NO_VISUAL_EVIDENCE; judgment=uncertain
arxiv_2402.18619_p28_152_82,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Text is a subfigure label,NEW_OBSERVATION,PARTIAL,PARTIAL,YES,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,MEDIUM,case_type=subfigure_label; e1_state=EXTENT_EXISTS; judgment=yes
is11_med_001_p11_85_291,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_efficientnet_p2_158_372,Text-Drawing Association (T1),INSUFFICIENT (G2: DEF=0),UNCERTAIN,Human uncertain even with complete evidence — semantic interpretation needed,SEMANTIC_INTERPRETATION,YES,YES,YES,YES,PARTIAL,PARTIAL,YES,NO,G5_CANDIDATE,HIGH,case_type=Type_A_negative; e1_state=PRIMITIVES_NO_EXTENT; judgment=uncertain
is11_efficientnet_p6_307_629,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
arxiv_2402.18619_p18_134_293,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_med_001_p15_498_107,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,UNCERTAIN,Human uncertain even with complete evidence — semantic interpretation needed,SEMANTIC_INTERPRETATION,YES,YES,YES,YES,YES,YES,YES,NO,G5_POSSIBLE_BOUNDARY,HIGH,case_type=Type_A_negative; e1_state=EXTENT_EXISTS; judgment=uncertain
arxiv_2402.18619_p28_107_234,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_efficientnet_p6_79_415,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,UNCERTAIN,Human uncertain even with complete evidence — semantic interpretation needed,SEMANTIC_INTERPRETATION,YES,YES,YES,YES,YES,YES,YES,NO,G5_POSSIBLE_BOUNDARY,HIGH,case_type=Type_B_negative; e1_state=EXTENT_EXISTS; judgment=uncertain
is11_efficientnet_p1_307_364,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
arxiv_2402.18619_p10_183_252,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed using existing spatial evidence + context,EXISTING_EVIDENCE,YES,YES,MAYBE,NO,YES,YES,NO,YES,NOT_BOUNDARY,LOW,case_type=ambiguous_fragment; e1_state=EXTENT_EXISTS; judgment=yes
is11_med_001_p15_85_574,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
arxiv_2402.18619_p19_72_733,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_efficientnet_p4_188_461,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,NO (not associated),Used existing evidence,EXISTING_EVIDENCE,YES,YES,NO,NO,YES,YES,NO,YES,NOT_BOUNDARY,LOW,case_type=ambiguous_fragment; e1_state=EXTENT_EXISTS; judgment=no
arxiv_2402.18619_p28_152_95,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Text is a subfigure label,NEW_OBSERVATION,PARTIAL,PARTIAL,YES,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,MEDIUM,case_type=subfigure_label; e1_state=EXTENT_EXISTS; judgment=yes
is11_med_001_p8_85_211,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_med_001_p23_85_395,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_resnet_p4_50_633,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
arxiv_2402.18619_p17_72_184,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_resnet_p7_321_545,Text-Drawing Association (T1),INSUFFICIENT (G2: DEF=0),UNCERTAIN,Human uncertain even with complete evidence — semantic interpretation needed,SEMANTIC_INTERPRETATION,YES,YES,YES,YES,PARTIAL,PARTIAL,YES,NO,G5_CANDIDATE,HIGH,case_type=Type_A_negative; e1_state=PRIMITIVES_NO_EXTENT; judgment=uncertain
arxiv_2402.18619_p11_72_651,Text-Drawing Association (T1),INSUFFICIENT (G1: DGF=0),UNCERTAIN,Human uncertain even with complete evidence — semantic interpretation needed,SEMANTIC_INTERPRETATION,YES,YES,YES,YES,PARTIAL,PARTIAL,YES,NO,G5_CANDIDATE,HIGH,case_type=Type_A_negative; e1_state=NO_VISUAL_EVIDENCE; judgment=uncertain
is11_resnet_p4_320_146,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed using existing spatial evidence + context,EXISTING_EVIDENCE,YES,YES,MAYBE,NO,YES,YES,NO,YES,NOT_BOUNDARY,LOW,case_type=ambiguous_fragment; e1_state=EXTENT_EXISTS; judgment=yes
is11_resnet_p5_359_225,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,NO (not associated),Used existing evidence,EXISTING_EVIDENCE,YES,YES,NO,NO,YES,YES,NO,YES,NOT_BOUNDARY,LOW,case_type=ambiguous_fragment; e1_state=EXTENT_EXISTS; judgment=no
is11_resnet_p1_435_316,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Used existing evidence,EXISTING_EVIDENCE,YES,YES,NO,NO,YES,YES,NO,YES,NOT_BOUNDARY,LOW,case_type=Type_B_negative; e1_state=EXTENT_EXISTS; judgment=yes
arxiv_2402.18619_p16_172_568,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
arxiv_2402.18619_p15_74_275,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
arxiv_2402.18619_p10_72_729,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Used existing evidence,EXISTING_EVIDENCE,YES,YES,NO,NO,YES,YES,NO,YES,NOT_BOUNDARY,LOW,case_type=Type_A_negative; e1_state=EXTENT_EXISTS; judgment=yes
arxiv_2402.18619_p19_72_248,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_med_001_p14_85_386,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_resnet_p1_412_338,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed using existing spatial evidence + context,EXISTING_EVIDENCE,YES,YES,MAYBE,NO,YES,YES,NO,YES,NOT_BOUNDARY,LOW,case_type=ambiguous_fragment; e1_state=EXTENT_EXISTS; judgment=yes
is11_med_001_p15_244_342,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,UNCERTAIN,Human uncertain even with complete evidence — semantic interpretation needed,SEMANTIC_INTERPRETATION,YES,YES,YES,YES,YES,YES,YES,NO,G5_POSSIBLE_BOUNDARY,HIGH,case_type=Type_B_negative; e1_state=EXTENT_EXISTS; judgment=uncertain
arxiv_2402.18619_p19_83_745,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed using existing spatial evidence + context,EXISTING_EVIDENCE,YES,YES,MAYBE,NO,YES,YES,NO,YES,NOT_BOUNDARY,LOW,case_type=ambiguous_fragment; e1_state=EXTENT_EXISTS; judgment=yes
is11_med_001_p24_85_572,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_cs_001_p1_108_651,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_med_001_p15_261_316,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed using existing spatial evidence + context,EXISTING_EVIDENCE,YES,YES,MAYBE,NO,YES,YES,NO,YES,NOT_BOUNDARY,LOW,case_type=ambiguous_fragment; e1_state=EXTENT_EXISTS; judgment=yes
