case_id,human_judgment,evidence_id,provenance_status,evidence_configuration,cross_case_match,judgment_consistency,human_added_information,added_information_type,case_specific_or_reusable,reusable_signal_candidate,free_text_required,semantic_label_required,rule_authoring_required,evidence_distillation_level,notes
arxiv_2402.18619_p17_184_561,YES,text_id:arxiv_2402.18619_p17_184_561|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=Type_B_negative;FIG=NO;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=Type_B_negative+FIG=NO+below+XO=YES; n=3),CONSISTENT (all=yes),A (confirmed existing evidence),EXISTING_EVIDENCE,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=arxiv_2402.18619; case_type=Type_B_negative; FIG=NO; VR=below; XO=YES; group_n=3
arxiv_2402.18619_p24_72_646,YES,text_id:arxiv_2402.18619_p24_72_646|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=arxiv_2402.18619; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
is11_resnet_p8_50_328,YES,text_id:is11_resnet_p8_50_328|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=above;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+above+XO=YES; n=2),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_3_REPEATED_EVIDENCE_INSTANCE,CONDITIONAL,FALSE,FALSE,FALSE,D2,doc=is11_resnet; case_type=caption_like; FIG=YES; VR=above; XO=YES; group_n=2
arxiv_2402.18619_p28_457_234,YES,text_id:arxiv_2402.18619_p28_457_234|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=ambiguous_fragment;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=ambiguous_fragment+FIG=YES+below+XO=YES; n=8),"INCONSISTENT ({'yes': 6, 'no': 2})",A (confirmed existing evidence),EXISTING_EVIDENCE,Level_2_EVIDENCE_LINKED,FALSE (inconsistent group),FALSE,FALSE,FALSE,D1,doc=arxiv_2402.18619; case_type=ambiguous_fragment; FIG=YES; VR=below; XO=YES; group_n=8
arxiv_2402.18619_p17_121_581,YES,text_id:arxiv_2402.18619_p17_121_581|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=arxiv_2402.18619; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
arxiv_2402.18619_p18_346_73,UNCERTAIN,text_id:arxiv_2402.18619_p18_346_73|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=Type_B_negative;FIG=NO;VR=above;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=Type_B_negative+FIG=NO+above+XO=YES; n=2),CONSISTENT (all=uncertain),E (judgment cannot bind to evidence — boundary),SEMANTIC_BOUNDARY,Level_1_CASE_SPECIFIC,FALSE,FALSE,FALSE,FALSE,D0,doc=arxiv_2402.18619; case_type=Type_B_negative; FIG=NO; VR=above; XO=YES; group_n=2
is11_efficientnet_p8_307_390,YES,text_id:is11_efficientnet_p8_307_390|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=above;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+above+XO=YES; n=2),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_3_REPEATED_EVIDENCE_INSTANCE,CONDITIONAL,FALSE,FALSE,FALSE,D2,doc=is11_efficientnet; case_type=caption_like; FIG=YES; VR=above; XO=YES; group_n=2
arxiv_2402.18619_p28_479_214,YES,text_id:arxiv_2402.18619_p28_479_214|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=ambiguous_fragment;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=ambiguous_fragment+FIG=YES+below+XO=YES; n=8),"INCONSISTENT ({'yes': 6, 'no': 2})",A (confirmed existing evidence),EXISTING_EVIDENCE,Level_2_EVIDENCE_LINKED,FALSE (inconsistent group),FALSE,FALSE,FALSE,D1,doc=arxiv_2402.18619; case_type=ambiguous_fragment; FIG=YES; VR=below; XO=YES; group_n=8
is11_efficientnet_p4_66_331,UNCERTAIN,text_id:is11_efficientnet_p4_66_331|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=Type_A_negative;FIG=YES;VR=none;XO=NO;EXT=NO;state=EXTENT_EXISTS,YES (group=Type_A_negative+FIG=YES+none+XO=NO; n=3),"INCONSISTENT ({'uncertain': 2, 'yes': 1})",E (judgment cannot bind to evidence — boundary),SEMANTIC_BOUNDARY,Level_1_CASE_SPECIFIC,FALSE,FALSE,FALSE,FALSE,D0,doc=is11_efficientnet; case_type=Type_A_negative; FIG=YES; VR=none; XO=NO; group_n=3
is11_cs_001_p5_292_225,YES,text_id:is11_cs_001_p5_292_225|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=Type_B_negative;FIG=NO;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=Type_B_negative+FIG=NO+below+XO=YES; n=3),CONSISTENT (all=yes),A (confirmed existing evidence),EXISTING_EVIDENCE,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_cs_001; case_type=Type_B_negative; FIG=NO; VR=below; XO=YES; group_n=3
is11_efficientnet_p6_511_629,YES,text_id:is11_efficientnet_p6_511_629|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=ambiguous_fragment;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=ambiguous_fragment+FIG=YES+below+XO=YES; n=8),"INCONSISTENT ({'yes': 6, 'no': 2})",A (confirmed existing evidence),EXISTING_EVIDENCE,Level_2_EVIDENCE_LINKED,FALSE (inconsistent group),FALSE,FALSE,FALSE,D1,doc=is11_efficientnet; case_type=ambiguous_fragment; FIG=YES; VR=below; XO=YES; group_n=8
arxiv_2402.18619_p10_132_629,YES,text_id:arxiv_2402.18619_p10_132_629|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=ambiguous_fragment;FIG=YES;VR=below;XO=NO;EXT=YES;state=EXTENT_EXISTS,YES (group=ambiguous_fragment+FIG=YES+below+XO=NO; n=4),"INCONSISTENT ({'yes': 2, 'uncertain': 1, 'no': 1})",A (confirmed existing evidence),EXISTING_EVIDENCE,Level_2_EVIDENCE_LINKED,FALSE (inconsistent group),FALSE,FALSE,FALSE,D1,doc=arxiv_2402.18619; case_type=ambiguous_fragment; FIG=YES; VR=below; XO=NO; group_n=4
is11_resnet_p1_309_305,YES,text_id:is11_resnet_p1_309_305|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_resnet; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
arxiv_2402.18619_p19_147_496,UNCERTAIN,text_id:arxiv_2402.18619_p19_147_496|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=ambiguous_fragment;FIG=YES;VR=above;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=ambiguous_fragment+FIG=YES+above+XO=YES; n=5),"INCONSISTENT ({'uncertain': 2, 'yes': 2, 'no': 1})",E (judgment cannot bind to evidence — boundary),SEMANTIC_BOUNDARY,Level_1_CASE_SPECIFIC,FALSE,FALSE,FALSE,FALSE,D0,doc=arxiv_2402.18619; case_type=ambiguous_fragment; FIG=YES; VR=above; XO=YES; group_n=5
arxiv_2402.18619_p28_256_214,YES,text_id:arxiv_2402.18619_p28_256_214|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=ambiguous_fragment;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=ambiguous_fragment+FIG=YES+below+XO=YES; n=8),"INCONSISTENT ({'yes': 6, 'no': 2})",A (confirmed existing evidence),EXISTING_EVIDENCE,Level_2_EVIDENCE_LINKED,FALSE (inconsistent group),FALSE,FALSE,FALSE,D1,doc=arxiv_2402.18619; case_type=ambiguous_fragment; FIG=YES; VR=below; XO=YES; group_n=8
arxiv_2402.18619_p12_180_706,YES,text_id:arxiv_2402.18619_p12_180_706|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=arxiv_2402.18619; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
arxiv_2402.18619_p26_327_253,UNCERTAIN,text_id:arxiv_2402.18619_p26_327_253|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=ambiguous_fragment;FIG=YES;VR=above;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=ambiguous_fragment+FIG=YES+above+XO=YES; n=5),"INCONSISTENT ({'uncertain': 2, 'yes': 2, 'no': 1})",E (judgment cannot bind to evidence — boundary),SEMANTIC_BOUNDARY,Level_1_CASE_SPECIFIC,FALSE,FALSE,FALSE,FALSE,D0,doc=arxiv_2402.18619; case_type=ambiguous_fragment; FIG=YES; VR=above; XO=YES; group_n=5
arxiv_2402.18619_p19_339_297,NO,text_id:arxiv_2402.18619_p19_339_297|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=ambiguous_fragment;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=ambiguous_fragment+FIG=YES+below+XO=YES; n=8),"INCONSISTENT ({'yes': 6, 'no': 2})",A (confirmed existing evidence),EXISTING_EVIDENCE,Level_2_EVIDENCE_LINKED,FALSE (inconsistent group),FALSE,FALSE,FALSE,D1,doc=arxiv_2402.18619; case_type=ambiguous_fragment; FIG=YES; VR=below; XO=YES; group_n=8
is11_efficientnet_p8_467_415,NO,text_id:is11_efficientnet_p8_467_415|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=ambiguous_fragment;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=ambiguous_fragment+FIG=YES+below+XO=YES; n=8),"INCONSISTENT ({'yes': 6, 'no': 2})",A (confirmed existing evidence),EXISTING_EVIDENCE,Level_2_EVIDENCE_LINKED,FALSE (inconsistent group),FALSE,FALSE,FALSE,D1,doc=is11_efficientnet; case_type=ambiguous_fragment; FIG=YES; VR=below; XO=YES; group_n=8
is11_efficientnet_p4_307_448,YES,text_id:is11_efficientnet_p4_307_448|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_efficientnet; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
arxiv_2402.18619_p18_432_93,YES,text_id:arxiv_2402.18619_p18_432_93|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=ambiguous_fragment;FIG=YES;VR=inside;XO=YES;EXT=YES;state=EXTENT_EXISTS,NO (unique config),N/A (single case),A (confirmed existing evidence),EXISTING_EVIDENCE,Level_2_EVIDENCE_LINKED,FALSE (single instance),FALSE,FALSE,FALSE,D1,doc=arxiv_2402.18619; case_type=ambiguous_fragment; FIG=YES; VR=inside; XO=YES; group_n=1
is11_cs_001_p4_108_225,YES,text_id:is11_cs_001_p4_108_225|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_cs_001; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
is11_resnet_p6_309_157,YES,text_id:is11_resnet_p6_309_157|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_resnet; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
is11_resnet_p5_50_392,YES,text_id:is11_resnet_p5_50_392|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_resnet; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
arxiv_2402.18619_p28_207_82,YES,text_id:arxiv_2402.18619_p28_207_82|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=subfigure_label;FIG=YES;VR=inside;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=subfigure_label+FIG=YES+inside+XO=YES; n=4),CONSISTENT (all=yes),C (found new observation in document),NEW_OBSERVATION,Level_3_REPEATED_EVIDENCE_INSTANCE,CONDITIONAL,FALSE,FALSE,FALSE,D2,doc=arxiv_2402.18619; case_type=subfigure_label; FIG=YES; VR=inside; XO=YES; group_n=4
arxiv_2402.18619_p10_72_581,YES,text_id:arxiv_2402.18619_p10_72_581|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=arxiv_2402.18619; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
is11_resnet_p4_309_134,YES,text_id:is11_resnet_p4_309_134|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=reference_like;FIG=YES;VR=above;XO=NO;EXT=YES;state=EXTENT_EXISTS,NO (unique config),N/A (single case),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_2_EVIDENCE_LINKED,FALSE (single instance),FALSE,FALSE,FALSE,D1,doc=is11_resnet; case_type=reference_like; FIG=YES; VR=above; XO=NO; group_n=1
is11_efficientnet_p7_55_455,YES,text_id:is11_efficientnet_p7_55_455|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=above;XO=NO;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+above+XO=NO; n=2),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_3_REPEATED_EVIDENCE_INSTANCE,CONDITIONAL,FALSE,FALSE,FALSE,D2,doc=is11_efficientnet; case_type=caption_like; FIG=YES; VR=above; XO=NO; group_n=2
is11_cs_001_p5_108_225,YES,text_id:is11_cs_001_p5_108_225|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_cs_001; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
arxiv_2402.18619_p28_458_160,YES,text_id:arxiv_2402.18619_p28_458_160|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=subfigure_label;FIG=YES;VR=inside;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=subfigure_label+FIG=YES+inside+XO=YES; n=4),CONSISTENT (all=yes),C (found new observation in document),NEW_OBSERVATION,Level_3_REPEATED_EVIDENCE_INSTANCE,CONDITIONAL,FALSE,FALSE,FALSE,D2,doc=arxiv_2402.18619; case_type=subfigure_label; FIG=YES; VR=inside; XO=YES; group_n=4
is11_resnet_p4_464_620,UNCERTAIN,text_id:is11_resnet_p4_464_620|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=ambiguous_fragment;FIG=YES;VR=below;XO=NO;EXT=YES;state=EXTENT_EXISTS,YES (group=ambiguous_fragment+FIG=YES+below+XO=NO; n=4),"INCONSISTENT ({'yes': 2, 'uncertain': 1, 'no': 1})",E (judgment cannot bind to evidence — boundary),SEMANTIC_BOUNDARY,Level_1_CASE_SPECIFIC,FALSE,FALSE,FALSE,FALSE,D0,doc=is11_resnet; case_type=ambiguous_fragment; FIG=YES; VR=below; XO=NO; group_n=4
is11_med_001_p9_85_321,YES,text_id:is11_med_001_p9_85_321|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_med_001; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
is11_med_001_p19_85_454,YES,text_id:is11_med_001_p19_85_454|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_med_001; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
is11_med_001_p20_85_340,YES,text_id:is11_med_001_p20_85_340|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_med_001; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
is11_med_001_p18_325_655,UNCERTAIN,text_id:is11_med_001_p18_325_655|drawing:NONE,PROVENANCE_PARTIAL (no drawing evidence),case_type=Type_A_negative;FIG=YES;VR=none;XO=NO;EXT=NO;state=NO_VISUAL_EVIDENCE,YES (group=Type_A_negative+FIG=YES+none+XO=NO; n=2),CONSISTENT (all=uncertain),E (judgment cannot bind to evidence — boundary),SEMANTIC_BOUNDARY,Level_1_CASE_SPECIFIC,FALSE,FALSE,FALSE,FALSE,D0,doc=is11_med_001; case_type=Type_A_negative; FIG=YES; VR=none; XO=NO; group_n=2
arxiv_2402.18619_p28_152_82,YES,text_id:arxiv_2402.18619_p28_152_82|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=subfigure_label;FIG=YES;VR=inside;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=subfigure_label+FIG=YES+inside+XO=YES; n=4),CONSISTENT (all=yes),C (found new observation in document),NEW_OBSERVATION,Level_3_REPEATED_EVIDENCE_INSTANCE,CONDITIONAL,FALSE,FALSE,FALSE,D2,doc=arxiv_2402.18619; case_type=subfigure_label; FIG=YES; VR=inside; XO=YES; group_n=4
is11_med_001_p11_85_291,YES,text_id:is11_med_001_p11_85_291|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_med_001; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
